job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/cyber-threat-detection-engineer-peraton-JV_KO0,31_KE32,39.htm?jl=1009002016012",Cyber Threat Detection Engineer,Peraton,United States,11/28/2023
"https://www.glassdoor.com/job-listing/senior-engineer-cyber-security-florida-cancer-specialists-research-institute-JV_KO0,30_KE31,76.htm?jl=1008878448461",Senior Engineer Cyber Security,Florida Cancer Specialists & Research Institute,United States,9/20/2023
"https://www.glassdoor.com/job-listing/senior-security-engineer-i-infosec-kroll-JV_KO0,34_KE35,40.htm?jl=1009000100782","Senior Security Engineer I, InfoSec",Kroll,United States,11/27/2023
https://www.ziprecruiter.com/ek/l/AAIcSizhEGuwewCVUrd9DrF4mRrAwP0YHuGgRZg-ImMDf3f-5vBpyg7bXfBJQzL79LUKDWPrBW4LaM_W9O6Ydov34wqcCLbweZsKgQPivaFHpuQopXgaRl9_2ogV0xY40AKrzuOwG69fGQHR2LoI7DehewVA1LS9fkBGrjdAYP81pbsgqKtQrqFS7uueLHXXvAjctjb-MinAcU-m5Kwhqrss9zh8VxTslExr,Cybersecurity Engineer,KabaFusion,"Cerritos, CA, USA",12/4/2023
https://www.ziprecruiter.com/ek/l/AAI8fw-WbjqEHWs9tXfW9mSKvUL4R1Jje4i8Fg71TOdQfNewucNxX7xjR1GKxB0g1GixX0xvUmREuKiOr-QpYwiIiypD7hQvSJa2GOs3WMJ7t7X3e7-KlHvlw9LYm2xk9_Zb7K6dgch3rnZ-LvbF3av-4Ii5xBU0ybxQw7vkiX3BiDmrYlRwO71Z3an8S7FffIzlyJjk7sFd8cRYYYZdFNNcq0fI_KGbF_md,Lead Cybersecurity Analyst - Product Security Engineering,BOEING,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/ek/l/AAIRr7f8yIBt_0IXwuCPu8hAICW83dpgaDGCbjYhECVIEhKxe9sEbWfbvpSZzXfE14A3y8ennG1d1FKCdSnjeYUkITqOURMsZE_UxIb8XKzsw2NNNS6F3zKG8dvQUkynKSw3oWzvr7uHR8OUEoWrSPytjqg0kq7wcM0vfWrfGMAuaTtsKhZOB3r7SWbd3UeJxhHO3El_afpanBohMFthjsSPE8wiWsBO5nC1,Senior Cybersecurity Engineer - ESS,BOEING,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJvDvKF9NujgVDRpt9GHnhwrAQFh7V24i9FLJ4lgur3I3pZWhEAIDiDcAsca5ajCKVpfpZlQzDhb35b0JZCOnCyoCSNa5WUa-jcuYXNggnF7Wm6pbdilbtmyDjIUosn17zObFGdDoykpEu6ZI63zV6i2q3W3YZDfHFt2SffVvBWx9-l3cpCyRutXc15lSZ6r55E5y4MAE_LP3OZoZ0eyA,Staff Cybersecurity Engineer,"Gateway Recruiting, INC.","Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAL1ZJGDWpiCzFk9cqHo94m7S4b591qryfrtpL13zkNnZ6rweEqXvrRMapC4PcheLotfQKukHRv4lTWQkwZ2wZapaDFAeyxFmoyXB-Y24XwT6wx76InNq9UNgxRrHH9vN1MMGAtWQJj6tIRwuJd5AwaI492xcxKoGILU7pdEzjpNq9yYpP5hJCJw3K9CEce4k85OamIpfWI0APkkNtmMgsU,Principal Information Technology Analyst District Temp (Cybersecurity),The Metropolitan Water District of Southern California,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJcMuZfjUmHX0tfjqfUiroCSldzjZql_8PzSYQMn1yk9eOCHvKlHWNPrHGne89hTgOLJN1xhxm3ZWPerGNvFupH93x7rtFASQ6T7fi0wtpyUocTn4ZWmW2ywxk4C-g1wUlT_v_CUuiy1ZBClcqHuI-BVJbEaZOK7McxOUre4LByXS6_cE0BxC_Wugj9NauT5BpCKj58l-1RzFlAdNJcig,"Information Systems Cybersecurity Engineer, Enterprise Systems",Apple,"Culver City, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIzlVWVskOQTjzXqzw8--We0c4hnhT3ANScWCz62fcLMxofEj3b_ExEh7GnEFzqf3Mk3kf_CoEVYODtXgdwr3hzy2yznuFOHKViYkHK4mp0jmgNFn9YdOdTLbqyhUkGDduyz0hapKHV80K-CNnz1Zt5LzSDTcqHw3XUG_dirsTaA2uWjA6T3TNuJckHPnlEfItcGHmyUurfzugIKscexA,University-Cybersecurity Engineer,"Booz Allen Hamilton, Inc.","El Segundo, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJZqHw6YuDO_tOiW40p1L1qkXZWixrCZFxT1Z4A3cRkRe930paALeuBu-k_EKyuG7xjP_OSK4OfnoMqJdSW3iCnhq9VxjWAROmvnQqdLKb7bJDzK1kOx8odCei0y7Ze90ES5HhE76Qs3zxA6lBgOwvimIloR1zXXWhnC5f-FTZpube71jgsjrdhhRv3SDa0Md1R_9h7B-8aqQS8RNbsxSiXvJEGlKq0ZRNaAQ,Security Systems Engineer - Imbedded,Ollivier Corporation,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIIFcT3fMuz12Ry5wUnfo8Og_pqd53BxndrsijamhESxey3zIL88yKx4SccRf3O_muQiczrcV97TnX7UDnqcOzP7b-tHMNtVzQ0SvyiLSvP_c4iXEanBnOmfmlN7rdT-Dz_vUwQgDBA3MxBylVRi_GdJ96Iqtx8acaOck4uy7RzEic60m7pwL6MHC-Y2XdpQsByKpJlDXRXDtpo6UCAjG4VSS7VKPnhWpRJgA,Systems Engineer - Meet in person,DCG Recruitment - Client,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AALWUnNZtOKpe5vILGqn2sda92qjTHApR2CAOwRSOYkBBWFpQ7Q-T6t6lROVjLNGf4NzX0dd-4BYYJL70nePBEaDWB8LrZze46cw0k8uaf2TA_9txUWJDcg3swl_LwKHBPInKEhCa9JPOPZise1LN8TtDV6nwHS5QMPXk8B9q3qYOdJ6Ub5mt1AskF54jDfV0mNmqr8X5yu3bfX9OUeWvQw,SailPoint Engineer - NASA/JPL,MORI Associates,"Altadena, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AALVcLFjDMCI2SlhCWoDwm17PR6Cy2D4KRi2HUqwDKwhlOsXU1qeUhn5klSZrDXipWEQ8r3r8e-s219GX1MDgulHJkQuDqdtmcmL5mLFXZLS3ibPzgEwUxp8WMdatjLHZ71oQ3sj-3uOZD0PQ-DotWyyf0rshCjOBJfiyr-1ytVZz5naubjdvbKVVKtygWCiqH1NEh9rCf-eRgTMvY05gnkvmYw3fGqrial9YQ,Configuration and Infrastructure Network Engineer (CCNA),Accend Networks,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/ek/l/AAIFCByrgcCU5Pa_HvWEJVPGe1qNSSedy0Bc7EYDsAze5u9dSyeguz4JEWcJgO6o9FeJB2IK4_i0LFGb1rfuoI0WdD09wbuZryk9fGoJPBfh1ojbrwn0qvo-7bG1GJeFPR4SpEXHQEdMIXRNM-fsjjyI36iv-xmgmu7BLbz6SY8YM2wqltwOYE0MP77bUccA-cxnHWMLqEqWNHDbCMkbyz995GZXS71qRmWZpA,Communications Systems Engineering (SME),"Modern Technology Solutions, Inc.","Santa Monica, CA, USA",12/4/2023
