job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/senior-medical-economics-analyst-longevity-health-plan-JV_KO0,32_KE33,54.htm?jl=1008871892702",Senior Medical Economics Analyst,Longevity Health Plan,United States,9/15/2023
"https://www.glassdoor.com/job-listing/it-d365-business-analyst-morgan-advanced-materials-JV_KO0,24_KE25,50.htm?jl=1008947925611",IT D365 Business Analyst,Morgan Advanced Materials,United States,10/27/2023
https://www.ziprecruiter.com/ek/l/AAJzvNOs5DI8pawEYcBnv-IhVRWRk__rz2G6ieGyGNeutW9pnAYJBvNYVagT0WGCQ2eF-lsSAKe_2AMnNk1rhoeBnroed9OiJLUpJFvCzrcm1GfZJC5pwEDISgrXEtPbWeC8RnnMED_o9V-mTMk4PeHm-inzjzMCbygyMELs0v-oBCIeGZ0nXXCQxKa-HeVfZmi4Z91HBsedE9nRTia00-EBq_0Y9dJgC0oWYA,Lead Cybersecurity Analyst - Product Security Engineering,BOEING,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKLhOL9znfVvHw_o9j0IMdKdvLYXarueEdMoxMjvHF139JpUBGjtNbS3WihvDcNUQ34J0NxxA5PEnOrdEvE-sWa5URTvcyBt8PsPgj_y-z9-Dlj1jdfzGROvhy9KOftYiTMlyoPMpVosR0o5rXtid-pgfLgsIgfLOlucS2hqqBZjPdpzWuzuy-ZXdJwNaHd14lDRjLQXGYZh5g32ZMHcg,Data Analyst,Amity Foundation,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIy9QwrPHWSrMkFuGUEyPDxox1ivHKisjNpfp8gnH_77GLH25lb5vT_Dn_E4FpWSTE70XdEikSp3dcxqUcvTnFaly5J1s8s2wdSj9kTmnNk3Cjr-Wu9eDjvNZ9eGre48xpUxt73x5PH8nBLTY6pJ8bx7KOAshvVowk9phI9ym3Cy6FFyGVtlPJBIuw8NpuDySdARxqmfcZoginFNNCCmOU,Data Analyst,Los Angeles LGBT Center,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/ek/l/AAIPQ1vznWZx_b7xwzIemZ-3tdxiIq923pUYG_ktUurz0SrxOJfC5FA3ecQgjTZZ9aD6Hxi8hdKNjhkjKTHpXL4hTKH-TvM5zh489HNEMJH4yscw1wBT9CHTZ60UlD308KrkCbwhmuHEDPOH4Qx3sq5HoqD_BzliVNRi06xenL3dWr9wv9noxnmIqLTNVMSNvKIMdfVHBCdb0od5icFn1kEmdqWdF0v5JL0,Senior Data Analyst / Open to Remote,Motion Recruitment,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/ek/l/AAIwpXfw8q5d_XrITLRSuB9dxFENDqDQRe2KIOwhyZTIksUAzikMCNxAY1ggYqOUNlh8RC01IDoz_BHYVLnxCWIkJy-FKwpABrk_1CBphXQFROXQatTXC8UWmc16NIpz8gbCP1DxFGKHW8dCgC1cRtJZqCTjeqvySxcEV9jk6fikEiumERL0D6JfLa7EkX6TpykK2rD4wZe9kmCs1rpuOSbu0d6JrOZStrE4bio,Administrative Analyst - Nursing Analytics (Hybrid),UCLA Health,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJ9P0b3cBFQ0OZSJzLYUEYaG3uRWhJXHU-S0HkDRXsloY6xDvX9_rpmoNXf0KDEcKCAK2WpqQp_9NTyDmqSuBWEBPr3IIM2nAIMk0Q5RED-PmeQeTTYTmK3_5ZBLUSABmHA0di0u5Q2eTQSoEnhVqRwWl2RAb02iDFdxEJQoH7_Cldza83kSMFwif77wD5IEWBsNTiClsaD9nNL2Gr38XXaa78zsW6jO92BDKY,Data Analytics Engineer,Oceanfront Analytics,"Santa Monica, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIl_Ws8dMiXds0iaUe-P8KwhMH5MJwxtyMph46W7MoyvI2pMvVPWN25c0jL1JkEl6GaDRiKfoBr3Rg30Bi-aWOALsjDwT-AAEHbxezsqN1Y35Y_PqrFLqJveGN_ZH-qyDufVt0SqKHlU-gHHkM03OcqGpFDMUFOk5n8tg5rI4WBaLYZsKzY_5Eex-SQLO_gA1GpjGv7_fQwM7iDVIAHC2o,PREDICTIVE DATA ANALYST,County of Los Angeles,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJbp-alZKz6JI7ofWSfcirmDFybnPAHkM_ePpNS382SKooVn3ZthnbQDmHFD2Miutq_8e2kHpZCep0RMexto8ZwmeS7L6VXZA9vnBnjwZFzCA3aK1O2epPo0nVu8RKtttTQR4i-K9i5FfSmOkIYBuSR7y4_ucaq0wGW_FwmrpUAWkNsDO1NYG9QMJeL8gW0nI0TdE3_bWA7oc8GpQmzVw,Data Analyst,T2 Tech,"Los Angeles, CA, USA",12/4/2023
