job_url,title,company,location,date_posted
https://www.indeed.com/viewjob?jk=341bfdb7f7220162,Database Engineer,FanDuel,"Los Angeles, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=f56181a669b29e1c,Associate Producer,Sonder,"Los Angeles, CA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=cece077ff481a9ed,Audio Engineer,Apple,"Culver City, CA, USA",11/29/2023
https://www.indeed.com/viewjob?jk=b48ce44fd26bd985,Senior Producer,Blizzard Entertainment,"Irvine, CA, USA",11/29/2023
https://www.indeed.com/viewjob?jk=00c1a7dc65066227,Software Engineer,Blizzard Entertainment,"Irvine, CA, USA",11/29/2023
https://www.indeed.com/viewjob?jk=cac97e37aa81d7b5,Artist,Blind Squirrel Entertainment Inc,"Irvine, CA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=037589a9cd4e3c79,User Experience Designer,PlayStation Global,"Los Angeles, CA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=53128dc92e8719eb,User Experience Designer,PlayStation Global,"Aliso Viejo, CA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=b4d09488b67d4326,Video Game Designer,Blind Squirrel Entertainment Inc,"Irvine, CA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=aba80ae1bcb83ab7,Artist,Tencent,"Los Angeles, CA, USA",11/29/2023
https://www.indeed.com/viewjob?jk=2cf4360fce588a74,Site Reliability Engineer,Weedmaps,"Irvine, CA, USA",11/29/2023
https://www.indeed.com/viewjob?jk=2df06300056ce890,Technical Director,Absurd Ventures,"Santa Monica, CA, USA",11/29/2023
https://www.indeed.com/viewjob?jk=40e99b245aad0f05,Senior Product Manager,Warner Bros Careers,"Burbank, CA, USA",11/28/2023
https://www.indeed.com/viewjob?jk=aa48892a21d421f0,Senior Product Manager,Warner Bros. Discovery,"Burbank, CA, USA",11/28/2023
https://www.indeed.com/viewjob?jk=17c6348ae00ccf38,Engineer,Blind Squirrel Entertainment Inc,"Irvine, CA, USA",11/28/2023
https://www.ziprecruiter.com/k/l/AAJXGK93cjIt-79_pxlq5oySMvpzi-7xlqFnpy42j9CQ5nfW4b_qDXTlqVqIJaaZXYlBVTBdl3aPuYpaZb5VV7jt9CilrJM9KuLCBFbnzmW_8t7n8prDJN7Q84kT0TFMCNS-6HYG0cVnQWIXcEg8vurMV3tHxQnw9zCESo_qp2ykhZPIwtfueuyonR_JjzZ7ltTxCJDzROyHkyvzk0lsHsR4zETXfQc6lTjFrQ,"Software Engineer, Machine Learning",ZipRecruiter,"Santa Monica, CA, USA",12/4/2023
