job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/automation-engineer-tecma-aries-america-JV_KO0,19_KE20,39.htm?jl=1008813444920",Automation Engineer,Tecma Aries America,United States,8/14/2023
"https://www.glassdoor.com/job-listing/digital-innovation-cognitive-software-engineer-principal-digital-innovation-cognitive-software-engineer-10854-northrop-grumman-JV_KO0,109_KE110,126.htm?jl=1009007001110",Digital Innovation Cognitive Software Engineer/ Principal Digital Innovation Cognitive Software Engineer – 10854,Northrop Grumman,,12/1/2023
"https://www.glassdoor.com/job-listing/sr-full-stack-web-software-engineer-centralreach-JV_KO0,35_KE36,48.htm?jl=1008912835374",Sr. Full Stack Web Software Engineer,CentralReach,United States,10/6/2023
"https://www.glassdoor.com/job-listing/devops-developer-peraton-JV_KO0,16_KE17,24.htm?jl=1008912894001",DevOps Developer,Peraton,United States,10/6/2023
"https://www.glassdoor.com/job-listing/web-developer-remote-government-contract-walker-healthforce-llc-JV_KO0,40_KE41,63.htm?jl=1008951950269",Web Developer | Remote | Government Contract,"Walker Healthforce, LLC",United States,10/30/2023
"https://www.glassdoor.com/job-listing/remote-senior-angular-full-stack-developer-peraton-JV_KO0,42_KE43,50.htm?jl=1008912895115",Remote Senior Angular Full Stack Developer,Peraton,United States,10/6/2023
"https://www.glassdoor.com/job-listing/senior-software-developer-boeing-intelligence-analytics-JV_KO0,25_KE26,55.htm?jl=1008834251482",Senior Software Developer,Boeing Intelligence & Analytics,United States,8/25/2023
"https://www.glassdoor.com/job-listing/remote-senior-angular-full-stack-developer-peraton-JV_KO0,42_KE43,50.htm?jl=1008912895087",Remote Senior Angular Full Stack Developer,Peraton,United States,10/6/2023
"https://www.glassdoor.com/job-listing/sr-devops-engineer-centralreach-JV_KO0,18_KE19,31.htm?jl=1008993444676",Sr. DevOps Engineer,CentralReach,United States,11/22/2023
"https://www.glassdoor.com/job-listing/sharepoint-admin-power-platform-developer-morgan-advanced-materials-JV_KO0,41_KE42,67.htm?jl=1009000462331",SharePoint Admin / Power Platform Developer,Morgan Advanced Materials,United States,11/27/2023
"https://www.glassdoor.com/job-listing/senior-omnistudio-developer-remote-working-usa-platform-6-ltd-JV_KO0,46_KE47,61.htm?jl=1008905433481",Senior Omnistudio Developer - Remote working USA,Platform 6 Ltd,United States,10/3/2023
"https://www.glassdoor.com/job-listing/gis-developer-john-staurulakis-jsi-JV_IC1128243_KO0,13_KE14,34.htm?jl=1008864400904",GIS Developer,John Staurulakis (JSI),"Nephi, UT",9/11/2023
https://www.ziprecruiter.com/k/l/AAJpi10H9lFlXox91lAQwaTYmFIAXJtHdDSm1VvVVGFgElMD6rmfAFYxezG1MNoNu5p0cxSUoJ4d3-oiSavf2AxciSrrN6fTQfmbdqZuX-CYWIiJmcxJy-RwWlNu7lblDItFNMwlQkoLV5cXTM0k72Zbo663R-FkEqHRpA91gXE6sxPJjl9mJWY1MOvfjMm8LddlaT6n-txubLgFrWNQk6ZASXtB0Az_uOcW,Senior Full Stack Software Engineer,ZipRecruiter,"Santa Monica, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKJdQBbVb4yGKrQBWHM0CdF5B7sSEIV4RL4mCfunJ25pt1lv7GBNzJQ4PSp7SL_P2kYwGFDlt2-SH_BTtrTLPATDBS5hkAkNz5pzIAbUbKMLR19NwbW7P4N10RUvj0BxWyEimsZFWlULnEuerhQRLxTMc2JqP-m8suQkQ1SqORGIVgtmaEb3cSZEXjlor8AAAFlpaUZIQu-QnWffRIYlHKVyhxFEuij7vOw,"Software Engineer, Machine Learning",ZipRecruiter,"Santa Monica, CA, USA",12/4/2023
https://www.ziprecruiter.com/ek/l/AAJDl-P4riLGYfm8wBOM71A2oMmWRM6Q3L0pq5xVmndvQ6kND0fo7lWAUWFwWARYwNpulSrph3kR70-YRtnfNs0dU9WadhGvUgvxrxq2kpWyinVj3vMd58tFa7gQ_hh6wYGz_ZP5c0-jZZBzW8oAUuh6WWmUg55BKkyQvpnPjlYIyZFFA9-q6RxCoz43QIdv1lJ9QN78Xz314ghMVYlNZhta9cAtGZFW7CRb,AIML Software Engineer (Mid-Level or Senior),BOEING,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/ek/l/AAIr2Jr6Y_1-yQH8x6ZGiPV9BSKBHUDypBwCaIfdUdwahpAw7xwAnJN3EF3F9fUQpSwAhRQGrHpZyJQStvM16c9aAeOcX74dnuUTuYosgDueu7_oqlFl6d4VrjSxXqveCZbi9CQb0sjM8NLx_Y-t53n41kAx6XHJFSSC7DrJJX3Cnk-BgI5Z6Mfv4akC-9hLOGAgEn-EUQuNWgcMKgug2yqJC7CDk8P5Z6mm,Satellite Ground Software Engineer (Mid-Level and Senior),BOEING,"El Segundo, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAI0Gvhwd9tWl_AbfXvJoHxR9UAThQVucabqqQ7xfUB2pPjDOPpp5yQnYhTfLdULSYN6garHKlSGRWIJOlObhonzpRwg0mdMtDoDCIMm7tLORIj0uJGnaZfH3tpqZ9iNRWvBzh04lX0YUZPLx_LyQtpOnThRtw_d35xCpiB-N9yYBXesPBF_gNY58HKiiscqBJV1KcbYSiHS82ISkIIOEue1TUsiRNpy5G9b,Senior Software Engineer,Lateral Link,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKbdnxCtJ2qW06wVwYqOydLiyFMaUx47wMapn6D9d4TDXVck32dcREfLshBiWiC7dyDOD2wOE2dEU1NU3zx-kE-x7V6l4cveUeOpaBE9TuvC3w4pEfCYwSjRmWPFQ7h1U3Jumec20nqdfiXIs-eb54DBCzZyWRPY8DElnVbuvDMMETUp0CbY1jEI5S70MMTZGJtRNdE1S-Elf_paV1eU1ivmTNSP92fjbd-MQ,Software Engineer (Platform) - Transit Industry Exp. Req.,Cornerstone Transportation Consulting,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIa_RAMC1ks_6gyi64OsaH2wJzRAjrCAd3PoXpHL-CwqGAAbbM2ijnpE2mfNW-m30frngD3GA-yGK9spYGhQFecamgwDb4qYCj8tHaJIuUNjNmME7rJ3_7BIafa8puKXqqcCbqw4zIVSYDrQTW0F3UVTpAfjk-PpPFfAY0o8GivArhzpiMuehm-6gk2xN1glNwYDcFBPmvoCdAmfWdHrd6AntJBXPSngOs,"Senior Software Engineer, Software Engineer II, Data Engineer II",ZEFR,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJT25QpOOBUtn9ADEkT-GAULaoTeLMXxulsse5kNBZcvE40ZIG34ruV04bFVl_ieugpjwB1eo6PuR0pssrdE39DlM10ardIYefFMbpoJ1CykcjRbusK3HGLELf4993S3GqPHqY04raxTcoieswQ6lTG87gxvACmatxOZTb9VnumE1ltua2rfK_RHcEBK7GS16yj1aGVNBAgqjJP4fpaOHuO,Embedded Software Engineer,CB & Associates,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AALNLhYEnkkB4YTNo3GX7PBFFvppxrmc5IdTPl3jMonlSWeoJnBn0E6DfLHQq_cdVrY1YudUwt5fZe7HiJsNsiv9fswyvgCxFgG6aOIIPBtf3abGRsoHgUsMZWZYD0G9jXo1uWclvHtuoNv2S6C9LBk6WP-zppYGpk1i0bdTewUu6RQkcow44W81Jc3MeI9GjS2RyOZvkdMPRor4q57iPHVwPxCbD7SDKsDMHQ,Software Engineer,"Ronin Staffing, LLC","Redondo Beach, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAItotqgk9rJMPU8xyggIiskN0atiD2IbrzvKAU6Y-r-vliqrYve9MStHYFkmDy7Ly4YIhbhBqAFQkuD2tA9a5ycorfJv-iaKzSVAkoSFW-hNpCiZD1R6T3H1lQFgpRtPMnOO4GOrhK8M1xQ_EBjyZZZ8tdSprvCSCfK-7Wyls9lo12xkcOSlSdm-Bk0HlJ0i8tSVMWzr9iwSKMeEA2xS8s,"Software Engineer, Interaction - Reality Labs",Facebook,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAL0zWKZLarKSRVCUAJ_x81nD2OSOyqgeZychBdiKAhuMMdXthZez0w0pKW30ZlCgDE90l0uhac730fqBmbn1DaURCWmiZ8UOvvpgLuq3osV2uAsl2k2P-3fS-LQ_ZgzZSSirOlBKQ8YA2aOKgFmpgUxhI8bQCiYY_tIXaE1emZa-yZCzOErodClm9kSLIjXye7Uccfph0JRCZgtDkXrAg0uczSG2ST1kbbpPZQ,Senior Electrical Engineer,Outpost,"Santa Monica, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIDAvKWJnni2MDfzhtXpK34U_e9FF_1fs-c9v5ALjq2L5RDaY_eYb7qfIgb5lFBE8ml26byeB18d9a31BgZfp5Q7xfIwC2RxtYA7rl6zra6rUDYgSNM-lR5fd7AEIKybJvFbK79WTu5AuXomiI1zb-L6veVq7lCcodarJeJxepu6cMzDBN-C88Ffw7EjuFVVjmx1i9jRKjzJmQPJn0omu_hHV3lVAButIUSOsg,Electrical Engineer,allocortech inc,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AALcGlEuxKO18e-uBgH6U8BHPeScaoWYcsKipIWeMx_o7v_HNrD5DzusIj8vLgOeUOmtbfUMtXmOH9Sv3LoADYblYeToRBiByd7yUEJTeu3kDr6bQmHDvioiWDwLk7Fqo3Vux944VnYMKCRX28ShkyHJO7zflq2-eRkw51_dqW42jDnRvCSJ1Vcs3NYXhhAul8n4i3-2bHpFiiDA0Z4SIzU,Software Developer,TEKsystems,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAImUVT0E_czA1ccvY4dlG_5WWbGJqvE1DECyFGV1chpXiL2QSaKlcMoLpXIPI7yfyT7tjm68qyRzayyDCdDxrCj99y2D38GYyG3BPKir4qBr3dbauF5loZ3am_EeR9vEXb17sn-lBMgf5hwRWJFY2i97FPQ76On67dqY3xVjp3z7dz5VAvXk23Lk-AhWGzRE61DFDtutxFCwDFvEm6GMuE,Senior Software Engineer,17 Mission,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJtCGX4in8eP21xf80phPoqTcffNArd1ztCm8VXCfhziXATwH_upWE3f5z2kCKixKwrY3hTV5uiKFaIiYjGt0VwDo2SKsx7Gn8sP4o2HMEORT-ir5UcmBOvBIu59ZRQjyIBraR_PDpKdOnd3_aXNRuIk-_WvoNXc4GZsBf8m2sKP9dRxoPKcWrnbQKlBpKHiCuhgaBujie-xYxwREUCWQ,"Software Engineer, Interaction - Reality Labs",Meta,"Los Angeles, CA, USA",12/4/2023
https://www.indeed.com/viewjob?jk=bccb5b24b457fdb2,Software Engineer,Lockheed Martin Corporation,"Palmdale, CA, USA",12/2/2023
https://www.indeed.com/viewjob?jk=e04a3b98e44cc85f,Software Engineer,DFLabs,"Los Angeles, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=7faa3da6d5e969ca,Database Developer,Capgemini,"Los Angeles, CA, USA",11/21/2023
https://www.indeed.com/viewjob?jk=28f6da40d3216b38,Web Developer,Citirex,"Los Angeles, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=0b6aa0bca74402d4,Machine Learning Engineer,Blizzard Entertainment,"Irvine, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=6219b5628fe17101,Front End Developer,Cascadia Capital Corporation,"Alhambra, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=a685e0e54682b0ac,Developer,Capgemini,"Irvine, CA, USA",11/26/2023
https://www.indeed.com/viewjob?jk=d553d56fa24ff1db,Full Stack Developer,Capgemini,"Irvine, CA, USA",11/26/2023
https://www.indeed.com/viewjob?jk=8e35f9cb0069c4e8,Senior Software Engineer,Honda Center,"Anaheim, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=8857685334ee4488,Controls Engineer,"Calnetix Technologies, LLC","Cerritos, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=0b8fcbff9e5fbd11,Application Developer,SpaceX,"Hawthorne, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=f43d61ae93bf5d2f,Software Engineer,CJ,"Agoura Hills, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=3ed07332ce6a5125,Senior Software Engineer,StubHub,"Los Angeles, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=6a64a10bae2049e6,Software Engineer,Sorting Robotics,"Van Nuys, CA, USA",9/27/2021
https://www.indeed.com/viewjob?jk=a275029fd784949e,Front End Developer,Gigs App Inc,"Los Angeles, CA, USA",10/29/2023
