job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/senior-unified-communications-engineer-avaya-exp-req-optivor-technologies-llc-JV_KO0,52_KE53,77.htm?jl=1007867206230",Senior Unified Communications Engineer (Avaya exp req.),"Optivor Technologies, LLC",United States,5/16/2022
"https://www.glassdoor.com/job-listing/wi-fi-and-networking-engineer-ii-telecommunications-technical-services-JV_KO0,32_KE33,70.htm?jl=1008904739071",Wi-Fi and Networking Engineer II,Telecommunications Technical Services,United States,10/3/2023
"https://www.glassdoor.com/job-listing/senior-system-integration-engineer-c4isr-and-c5isr-horizon-global-partners-llc-JV_KO0,50_KE51,78.htm?jl=1008656311447",Senior System Integration Engineer C4iSR and C5iSR,Horizon Global Partners LLC,United States,5/19/2023
"https://www.glassdoor.com/job-listing/lead-enterprise-applications-engineer-workday-integration-cox-enterprises-JV_KO0,57_KE58,73.htm?jl=1008935446881",Lead Enterprise Applications Engineer-Workday Integration,Cox Enterprises,United States,10/19/2023
"https://www.glassdoor.com/job-listing/fire-protection-engineer-w-doe-dod-or-nuclear-exp-sec-llc-JV_KO0,49_KE50,57.htm?jl=1008937702628","Fire Protection Engineer (w/DOE, DOD or Nuclear exp.)",SE&C LLC,United States,10/20/2023
"https://www.glassdoor.com/job-listing/welding-engineer-sec-llc-JV_KO0,16_KE17,24.htm?jl=1008933344253",Welding Engineer,SE&C LLC,United States,10/18/2023
"https://www.glassdoor.com/job-listing/network-engineer-iv-stars-ii-telecommunications-communication-engr-horizon-global-partners-llc-JV_KO0,66_KE67,94.htm?jl=1008713560547",Network Engineer IV/ Stars II Telecommunications & Communication Engr.,Horizon Global Partners LLC,United States,6/20/2023
"https://www.glassdoor.com/job-listing/network-engineer-ii-stars-ii-telecommunications-engineer-analyst-horizon-global-partners-llc-JV_KO0,64_KE65,92.htm?jl=1008713552795",Network Engineer II/ Stars II Telecommunications Engineer/Analyst,Horizon Global Partners LLC,United States,6/20/2023
"https://www.glassdoor.com/job-listing/engineer-i-ii-sr-huntington-ut-ffr-110281-pacificorp-JV_IC1128107_KO0,41_KE42,52.htm?jl=1008910671803","Engineer (I, II, SR) Huntington, UT (FFR# 110281)",PacifiCorp,"Huntington, UT",10/5/2023
"https://www.glassdoor.com/job-listing/servicenow-software-developer-mid-senior-peraton-JV_KO0,40_KE41,48.htm?jl=1008960086623",ServiceNow Software Developer / Mid-Senior,Peraton,United States,11/2/2023
https://www.indeed.com/viewjob?jk=f84684745e304ade,Engineering Manager,Northrop Grumman,"Northridge, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=448ecd87ecc82025,Senior System Engineer,SpaceX,"Hawthorne, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=aa98438c78589a9d,Senior System Engineer,Relativity Space,"Long Beach, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=91c5f931dcb848c3,Systems Administrator,Cosm,"Los Angeles, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=8091ad5947f5057f,Network Engineer,Cosm,"Los Angeles, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=028f0f07cf66637a,System Engineer,Northrop Grumman,"Redondo Beach, CA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=66cef019077c056e,Network Engineer,Disney,"Burbank, CA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=71e92bc0a72bb30a,Senior Research Engineer,USC,"Marina del Rey, CA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=669e32df88d5ce0d,System Engineer,Hermeus,"Los Angeles, CA, USA",12/1/2023
https://www.indeed.com/viewjob?jk=bbc5d433fdbe0c05,Network Engineer,The Walt Disney Studios,"Burbank, CA, USA",12/1/2023
https://www.indeed.com/viewjob?jk=356b294014066261,Modeling Engineer,NantWorks,"Culver City, CA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=8b47b39c699e76f0,Service Associate,BOEING,"Seal Beach, CA, USA",12/1/2023
https://www.indeed.com/viewjob?jk=634e71fc8eadc774,Systems Analyst,"California State University, Fullerton","Fullerton, CA, USA",12/1/2023
https://www.indeed.com/viewjob?jk=7b57c6d950a77397,System Engineer,Geologics Corporation,"Torrance, CA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=6985c30eaad7ff94,Senior System Engineer,Motive Companies,"Chatsworth, CA, USA",11/30/2023
https://www.ziprecruiter.com/k/l/AALBiEgIVY_2TtHZ0l-MGHQauFT1K4D02hiNu2V5xXw8nO0ktA_d2ps-ve5vCAqoM5j1YbgNCsa7T2XoWJsYR8golezK0bon7unEJB6Wp1WVsDyyuvV5f89bNcXTmVUqteA9PUwAMHTpt_UXfiWs_j-fkpurCqr2GGft_ggi3g9DnLZomEK18EdGTDKvzkhbrgU2IUGKd0NCX8k5mLc0gVnNqLVyx-6Hpacr,Systems Engineer - Meet in person,DCG Recruitment - Client,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/ek/l/AAIlv7fEqwq1zspXkm6xi8lpbBZ5KJNhITcgrFh58Y9l6nw7lBfDebK3AYYPegFj-5CggFnnIFRMhwLkg2HFzCPtdQlsz0rFeXFWNEH3nHjDEpt4Fl-esrCjQkRaVtL6Zwm3MB9RIgoyLmktGOUVij_VkcAS9jBLunf2xJeV-jkEDje4kd_r9xBVTA_2iW25gmg_Tw0YpZhFeS2Cks4UZsRIVtLL-4d_GXa7,"Space, Intelligence & Weapon Systems Engineer Levels (Entry, Associate, Mid-Level)",BOEING,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AALhx3Kktz6vkBFDCNiFvTRCrxB7FqBPQVYySJHld2NOu4BQBBDrYAXNBcxKQozrB_amFq60MMwqwFo2rv4tp_fo9rnGiahhXUIVP7VG2VOJQQDS77AfAhNZaOOOv-8Yg4cTXNCdV1FEqQfZ-lrEEiEhOTb1DQgR7qPRhysjU4dmvNwOCijbyCUIrDBDqEUZC7Z2QLG6KlkPGeZleXbl6Ktr8VirBeUFqA0oDw,"Staff Software Engineer, Machine Learning",ZipRecruiter,"Santa Monica, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIWVA_kN3sa1CtWO8olbQjs7rZ-PepAczG3ZMzuouZ7y7EbD80xR1DO-bKBV1n7CuIMxO3t5dvZX68u-C0iJJ_dMiLijiw948x8JUbNad5EmhjwG0svbcfd4IO9m5y8eZJQGwy9myl6BJOuXW9u9MDDp99hjRFw3BCavP3gUAzdE52Yu2yIehbIfCnlOtk8EpLrqLo4BWbIxw3MicDE6DT9vhW0H1Wcm5SYPw,"Software Engineer, Machine Learning",ZipRecruiter,"Santa Monica, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKnXZZNaXJXDkMrJCG0LYOANIswGH7kw6_GEfOEwlbMjqZXoLq6jK5MzCFhH3kH1QWbRt81Vz1_1nc5C525S47JpNwieRULr6wfZcJwBtfVvcIdVJsCOFJ-yRIhHcG4IkUB4SYq3yb5sgoI08dW5KxP2VC38u-pf-Dee8Xr3dpL0bnE3OH8mlZMALSozihzKToQLVIURY0Ha6VQm822W-M7fPvzR-qTWeP8,Systems Engineer Administrator,LH Global Consulting,"Northridge, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIBDEQsrdVvn_jXOYUYhlNx1Y2dwt8j7iwOG9s7G7ASDDBJXfYkErVmyk3VLAfafuGWDXe0V0gC4POArobzvXigg7q9yQsfaufbYmzg7qE59cEevKyHzQWS5eGBtJHWI5pNgppm_vfg_p-G2TD0l_BjHO2Xh1-3Se2k8zI8tCF-UWXZ4LYlniQJp3Fc94qMgN4EUeo_SZ_eXIja9T2NP0gHQTBfDOvh1JFaIiw,"Quality Manager - Napa, CA",Multi-Color Corporation,"Los Angeles, CA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKRZk2k4RfJJIw-E-vweuFyZkGoHzHXfhwsUSvrODI1W-14-ROZSDEWo-tZjlXNanHZrLlyGM0adcCeMt4HV96GtxnoBqy66yLnkBwheIw8pdv9d5W0wVpURgk33L3p7EzDVjGDKIObZvc1DzgzX1isIrW3_CVyygAR9avcayRvxJfMQmMDnRapXfwvRlOtuFeDdaLwCrwiCuwitq4fsRbdE0m8n-QAoB1Pfg,Security Systems Engineer - Imbedded,Ollivier Corporation,"Los Angeles, CA, USA",12/4/2023
