job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
"https://www.glassdoor.com/job-listing/board-certified-behavior-analyst-dedication-aba-llc-JV_IC1153527_KO0,32_KE33,51.htm?jl=1008918930492",glassdoor,Board Certified Behavior Analyst,Dedication ABA LLC,,"Baltimore, MD",,2023-10-11,hourly,55,70,USD,False,,,,
"https://www.glassdoor.com/job-listing/board-certified-behavior-analyst-bcba-jade-aba-therapy-JV_IC1153527_KO0,37_KE38,54.htm?jl=1008816798968",glassdoor,Board Certified Behavior Analyst (BCBA),Jade ABA Therapy,,"Baltimore, MD",,2023-08-16,yearly,75000,110000,USD,False,,,,
"https://www.glassdoor.com/job-listing/analyst-marketing-data-integration-mdi-t-rowe-price-JV_IC1153614_KO0,38_KE39,51.htm?jl=1009001716348",glassdoor,"Analyst, Marketing Data Integration (MDI)",T. Rowe Price,,"Owings Mills, MD",,2023-11-28,yearly,65319,91372,USD,False,,,,
"https://www.glassdoor.com/job-listing/division-business-analyst-lennar-homes-JV_IC1153546_KO0,25_KE26,38.htm?jl=1008868700742",glassdoor,Division Business Analyst,Lennar Homes,,"Columbia, MD",,2023-09-14,yearly,80574,123630,USD,False,,,,
"https://www.glassdoor.com/job-listing/qualifications-data-analyst-booz-allen-hamilton-JV_IC1165756_KO0,27_KE28,47.htm?jl=1008993270949",glassdoor,Qualifications Data Analyst,Booz Allen Hamilton,,"Fort Meade, MD",,2023-11-22,yearly,93300,212000,USD,False,,,,
"https://www.glassdoor.com/job-listing/senior-medical-economics-analyst-longevity-health-plan-JV_KO0,32_KE33,54.htm?jl=1008871892702",glassdoor,Senior Medical Economics Analyst,Longevity Health Plan,,United States,,2023-09-15,yearly,83000,104000,USD,False,,,,
"https://www.glassdoor.com/job-listing/data-analyst-supporting-the-fbi-fsa-federal-JV_IC1165775_KO0,31_KE32,43.htm?jl=1008966035795",glassdoor,Data Analyst Supporting the FBI,FSA Federal,,"Linthicum, MD",,2023-11-07,hourly,26,26,USD,False,,,,
"https://www.glassdoor.com/job-listing/nursing-administration-coordinator-and-data-analyst-gbmc-healthcare-JV_IC1153527_KO0,51_KE52,67.htm?jl=1009012691554",glassdoor,Nursing Administration Coordinator and Data Analyst,GBMC HealthCare,,"Baltimore, MD",,,yearly,47442,69448,USD,False,,,,
"https://www.glassdoor.com/job-listing/analysts-military-experience-a-plus-corporate-gray-JV_KO0,35_KE36,50.htm?jl=1009013028386",glassdoor,Analysts - Military Experience a Plus,Corporate Gray,,,,,yearly,75000,150000,USD,True,,,,
"https://www.glassdoor.com/job-listing/tableau-business-intelligence-sme-and-user-support-specialist-international-software-systems-inc-JV_IC1153655_KO0,61_KE62,96.htm?jl=1008991720620",glassdoor,Tableau Business Intelligence SME and User Support Specialist,"International Software Systems, Inc",,"Windsor Mill, MD",,2023-11-21,yearly,77617,111808,USD,False,,,,
"https://www.glassdoor.com/job-listing/senior-cyber-ops-risk-analyst-data-engineer-peraton-JV_IC1165756_KO0,43_KE44,51.htm?jl=1008912893823",glassdoor,Senior Cyber Ops Risk Analyst / Data Engineer,Peraton,,"Fort Meade, MD",,2023-10-06,yearly,146000,234000,USD,False,,,,
"https://www.glassdoor.com/job-listing/contract-cost-pricing-analyst-chimes-international-ltd-JV_IC1153527_KO0,29_KE30,54.htm?jl=1008971618580",glassdoor,Contract Cost & Pricing Analyst,Chimes International LTD,,"Baltimore, MD",,2023-11-09,yearly,69510,100141,USD,False,,,,
"https://www.glassdoor.com/job-listing/research-data-analyst-johns-hopkins-university-JV_IC1153527_KO0,21_KE22,46.htm?jl=1009005312831",glassdoor,Research Data Analyst,Johns Hopkins University,,"Baltimore, MD",,2023-11-30,yearly,47500,83300,USD,False,,,,
"https://www.glassdoor.com/job-listing/behavior-analyst-2-500-hiring-incentive-leap-greenspring-campus-kennedy-krieger-institute-JV_IC1153527_KO0,63_KE64,89.htm?jl=1008616756445",glassdoor,"Behavior Analyst $2,500 Hiring Incentive (LEAP-Greenspring Campus)",Kennedy Krieger Institute,,"Baltimore, MD",,2023-04-28,yearly,48743,69525,USD,False,,,,
"https://www.glassdoor.com/job-listing/technical-business-analyst-computershare-JV_IC1153546_KO0,26_KE27,40.htm?jl=1009013050275",glassdoor,Technical Business Analyst,Computershare,,"Columbia, MD",,,yearly,85000,105000,USD,False,,,,
https://www.ziprecruiter.com/k/l/AAIuJJYXh6mH5I82EDdRMG2MrfLT1r9Dz3bx_lJZVva0Tm8O9HkmWUEVuPIbvYRHRiFS-Vk94P3cI-sf6FcAZu1tO4UyTgFnb5764iN_YI3FJAGAB6RjPcibC_DOzuwX8yz1TQqRXuBJR_oDCKQAMue-9li8ydw4AhKmmN5RdzGgNQ8hpePXaXilY8OEdH1yBUHIBec9DjyjgStbFRlPNLwC8icnSUvak-64,zip_recruiter,Data Analyst,Insightin Health,,"Baltimore, MD, USA",fulltime,2023-12-04,,,,,,0,,,"Insightin Health helps healthcare payers eliminate data silos and deliver highly satisfying consumer-centric experiences. inGAGE™ – our software as a service (SaaS) platform – is the industry leading solution for quickly creating a connected data ecosystem. Using artificial intelligence and machine learning techniques, inGAGE™ leverages the totality of the connected data, in real-time, to produce insights that drive Next Best Action (NBA) recommendations to solve pressing healthcare challenges. inGAGE™ allows healthcare payers to deliver lifetime member value, driving growth and increasing overall plan profitability.Job Description:As a Data Analyst at Insightin Health, you will be responsible for collecting, analyzing, and interpreting data to support strategic decision-making and assist in developing cutting-edge modeling solutions. You will work with diverse healthcare datasets, collaborate with cross-functional teams, utilize data analysis tools, and contribute to the success of our organization through data-driven insights.Key Responsibilities:Data Processing and Analysis:Collect, clean, and preprocess large healthcare data from various sourcesPerform exploratory data analysis to uncover patterns and insightsConduct statistical testing and hypothesis testing to derive actionable conclusionsData visualization and reporting:Generate reports and summaries of results for internal and external stakeholdersPresent findings in a clear and understandable mannerMaintain clear and comprehensive documentation of data analysis processes, methodologies, and findingsData Quality Assurance:Implement data quality checks and data validation processes to ensure data accuracy and reliabilityIdentify and resolve data inconsistencies or anomaliesCollaboration with cross-functional teams:Work with business stakeholders to understand their data needs and requirementsTranslate business objectives into data analysis tasks and deliverablesCommunicate findings and insights effectively to non-technical stakeholdersQualifications:Bachelor's or Master's degree in a related field such as Statistics, Data Science, or a healthcare-related disciplineSolid understanding of statistical concepts and hypothesis testingFamiliarity with basic machine learning concepts, algorithms, and techniquesProven experience of data wrangling, data analysis, and statistical testing on large datasetsStrong proficiency in data analysis tools and programming languages (e.g., SQL, Python)Familiarity with data visualization tools (e.g., Power BI, Tableau)Excellent communication skills with the ability to convey complex data concepts to non-technical audiencesStrong problem-solving skills and attention to detailExperience in the healthcare industry or health plan analytics is a plus "
https://www.ziprecruiter.com/k/l/AAL7xLV9olYV25g5yR-WUSBPt7b5ePyugMCyjGC1REq4V14NmIQqUpc4GxUD4p2TGqC5yPaMkBEg3ItIY57VX-JSkYb7Zsa4ZOV00FFvwAKxKoP3CJE_LhPnmDFNXd9RLRPUB0LyJGRAVY8u6G_l6e9m19USCRpY9GgYgdadxD7mGUDPofHMTi-dpYj51aoH3Q-18kNyGagH_g1oZ15kWaWhhxcayw89NZ-h,zip_recruiter,Data Analyst,LeadRevu,,"Baltimore, MD, USA",fulltime,2023-12-04,,,,,,0,,lindsey@rasaniconsulting.com," Job Title: Data AnalystCompany: LeadRevuLocation: Baltimore, MDAbout Us: LeadRevu is a national leader in marketing for Financial Institutions. We specialize in providing innovative marketing solutions that drive growth and success for our clients. At LeadRevu, we offer a fun, flexible, and entrepreneurial work environment, and we are committed to fostering professional development and growth opportunities for our team members.Job Summary: We are seeking a dynamic Data Analyst to join our major marketing company. As a Data Analyst, you will play a crucial role in collecting, analyzing, and interpreting data to drive informed decision-making. You will work closely with our CEO and VP, providing valuable insights and recommendations to optimize our marketing strategies. Key Responsibilities:· Collect and analyze data from various sources to identify trends, patterns, and opportunities· Generate and maintain reports and dashboards to track key performance indicators (KPIs).· Develop actionable insights and recommendations based on data analysis.· Collaborate with cross-functional teams to implement data-driven strategies.· Continuously monitor and evaluate marketing campaigns for effectiveness.· Stay updated on industry trends and best practices in data analysis. Qualifications:· Experience in data analysis, including proficiency in Excel.· Strong analytical and problem-solving skills.· Ability to communicate data findings effectively to non-technical stakeholders.· Quick learner with the ability to adapt to changing priorities.· Exceptional attention to detail and organizational skills Application Process: Interested candidates are encouraged to send their resume and cover letter to [lindsey@rasaniconsulting.com]. Please include “Data Analyst Application” in the subject line "
https://www.ziprecruiter.com/k/l/AAIp8oN6qP5Qkn3Cb-l-nNM_rTP3guicGXex9xGKAcGxnD2x7fb8MmwKRaKSLkc_mcBrsHFDjm09dH3IDemXs2g9nw_ZfuEzigTvUfgcMcQiDf4GKFFqvy1vVQ4tLRBaEBe8N8iAgwvoZH4Aii9usGrAg5lkZnUuU8ghmZ0i82hicEKnqF4jnwUv9srUQdPvXTnV4yp7H0gQbK9NJ_GNDVQ,zip_recruiter,Data Analyst (Family & Community Engagement),Baltimore City Public Schools,,"Baltimore, MD, USA",,2023-12-04,yearly,72252,89405,USD,,0,,,Support Staff - Position - Data Analyst Job Number 8600036984 Start Date Open Date 10/19/2023 Closing Date The analyst is responsible for ensuring that the City Schools Engagement Department has the ...
https://www.ziprecruiter.com/k/l/AAJFbybDfs37fHQbY4QE2iuU7vuA1smCcatsMJZnnkZILBJvQs8jhHGgc-sZI4Ukd19SnzCs7AGSjk4KBvC18pmV5gn6yYHsqwv45cIWN5yYXYt10LX7hSjC2dT4h1a9bNyer4a1xw-oHX6lt8cqrbCKLljvG6tbt87MAFtpWOE3t_nK_Zc1eO3iITaH2otbCXyhE-a8l4WPnsgJOvwhbr0,zip_recruiter,Data Analyst - Continuous Improvement,Baltimore City Public Schools,,"Baltimore, MD, USA",,2023-12-04,yearly,72252,89405,USD,,0,,,"The Data Analyst assists with the development of data routines and processes, visualizations for insights, and learning reports and presentations related to district-level improvement efforts. The ..."
https://www.ziprecruiter.com/k/l/AAIWMubFNTAJN9MswA0G8AVT1QD9esb5WUJuz4x7y44pe5InapNL9L8PW_dN6dDHUwFWqdqoE5IPkrnWKXGMs8A8FlrSjFecDE6UEDus4CfI7cmQONs8atjiIMrQ0_Jbrkm7p26ZBICn4roSPW0ZdPRJM7HmEfRF-1Z6frHBFBVKzk_D0lHeL4cE51_oTB8RvHVst3jyMz8GZQfrRAwcdQ,zip_recruiter,Data Analyst I,Equiliem,,"Fort Meade, MD, USA",,2023-12-04,hourly,30,35,USD,,0,,,"We need a results-oriented Data Analyst to support the NC3 Enterprise Center's (NEC) Systems Engineering and Integration (SE&I) Division at Fort Meade, MD. The SE&I Division serves as the hub for systems engineering and enterprise architecture, and as the technical authority for the Nuclear Command, Control, and Communications (NC3) Enterprise within the Department of Defense. Our customer, led by the Commander, U.S. Strategic Command (USSTRATCOM), applies subject matter expertise and best practices to translate mission and operational requirements into solutions and operational capabilities. Location: Fort Meade, MD (predominantly on-site with occasional opportunity to telework) Clearance: You must currently hold an active  DoD Top Secret clearance with SCI eligibility to qualify for this role. What will you do in this role? Respond to queries from internal and external government customers for NC3 and related data, information and analyses based on information that may be stored across multiple documents, databases, networks, and storage environments. Provide data/information retrieval, analysis and visualization support to SE&I's systems engineering, enterprise architecture and technical standards teams. Support data standards, digital modeling, and model-based systems engineering (MBSE) efforts, including the NC3 Digital Mission Engineering Environment (NDMEE). Collaborate with enterprise architecture teams to capture user requirements and use cases supporting architecture artifact development. Coordinate with the NC3 Enterprise Data Governance Group (DGG) to develop NC3 enterprise data standards, management, storage, and analysis processes. Coordinate with the NC3 Configuration Management team to collect, synthesize, evaluate, and produce reports in response to customer data calls. Support SE&I leadership through technical analysis, findings documentation, and recommendation development to drive improvements in NC3 enterprise governance and architecture. What are the required qualifications? Active Top Secret clearance with SCI eligibility. Bachelor's degree in Engineering, Computer Science, or a relevant technical discipline and at least three years of prior relevant experience. Experience performing data analysis, including analysis of operational, system design and architecture requirements and performance measurements/trends. Knowledge of data visualization principles, data visualization tools, and database management tools and principles. Skill and experience preparing professional documents and presentations utilizing Microsoft Office applications (e.g., Word, PowerPoint, Excel, Project, etc.). Experience delivering professional oral presentations in both one-on-one and in group settings. Experience working independently (with minimal supervision) on projects while managing workloads to meet milestones and project suspense dates. What are the program preferred qualifications? Experience working with Nuclear C3 community stakeholders such as NEC, USSTRATCOM, the Joint Staff, OSD, and U.S. Navy or Air Force units providing NC3 capabilities. Knowledge of digital modeling tools (e.g., SparxEA, Cameo). Knowledge of data analysis, visualization and natural language processing tools and procedures, including relevant Python tools and models. Exceptional verbal and written communications and document preparation skills. Working knowledge of workforce collaboration software tools such as Microsoft Teams and SharePoint. Working knowledge of digital note-taking software such as Microsoft OneNote. Working knowledge of relational database management software such as Microsoft Access and or Oracle. Working knowledge and experience with the Agile methodology approach to project management. Familiarity with of DoD Architectural Framework (DoDAF) and model-based systems engineering (MBSE) concepts."
https://www.ziprecruiter.com/k/l/AAK0GD5JJUqtZbjOYp6C7WFfI8gLpN8diUkEoUt9jQ3298Yz_SuClMz9wzBl56ZPPtbS7bZ4l3GTGfzwWZizA6ky5Hy8jJB3eKkJ_XnuZIysoR0EQAyNhzL5c3U4YpejVFXQDsEIqtjly99S9HSR0cnvHnBFNOj0KO6EKWhZSdADFFPBdxP_WKw0OEGo_75XufmSMORgMro6-3bB7CvYCg,zip_recruiter,Business Intelligence Data Analyst,Mercy Medical Center,,"Baltimore, MD, USA",,2023-12-04,,,,,,0,,,"The Data Analyst will have extensive opportunities to interact with colleagues across all disciplines, including senior management and executives, in order to design systems and reports to meet their ..."
https://www.ziprecruiter.com/ek/l/AAIDi1FrBmyfxTvUN9bCxlX3HTWS-HtXXVYGzfa1UL4fHvNtdqlI5y6YyhKeC661FC7FqkkTAV_cL4tYM7VUkMmnKI2wLAqJY3sXbjrRwnX0acaisHAut6lO-RrJDqpXBSjociexEofiRQMaSu7jmdiAq3Dd69763U02gsPatEFgK1uU00WdVLSSeSV3cCV-GzZ5WOIkhRCFkJkckX6WXFNnUMSMhPUsNp1zPA,zip_recruiter,Administrative Assistant,Enterprise Community Partners,,"Columbia, MD, USA",,2023-12-04,hourly,17,23,USD,,0,,,"Responsible for schedule management, communication liaison, information preparation, data analyst and representing the Office Leaders. * Assist senior acquisitions coordinator as needed. * Manage ..."
https://www.ziprecruiter.com/k/l/AAL0ECN4gat8wjDbeXtwtpN1K65p9NmIzWRBu9o39nGL2TbK0jmx5oWMb0HDK6REOE6_-e0__8_mx5rYhLgaywTfMbWxEc0Ka_1Dn-92AOugckC3bpk3sYcbm6lJ6xQyvKCvR1ldwK4JMDgUAQZ9Rm_PYXpLiFVyFa20TqohGkaK9Xy1TCDrarFVmbm0ANnGYGlFVLCjZTFu7h6imWOdlRw,zip_recruiter,Qualifications Data Analyst,"Booz Allen Hamilton, Inc.",,"Fort Meade, MD, USA",,2023-12-04,yearly,212000,212000,USD,,0,,,"Qualifications Data Analyst Key Role: Leverage SIGINT and non-SIGINT data sources to close discovery gaps, optimize client systems, and to enhance client ability to pursue essential data. Apply ..."
https://www.ziprecruiter.com/k/l/AAI7Eld8B8IG5upARxnPuz9IanCdHt0zR0XobUYwI-nekORfVC0FgHkxHgrcgncPTB6CXMnpVQSBr-T8M1mAVaLuTD5VD3nWq8XW9M-cYeFHZq7uBqm1orZTp1dFKku1KcSGP6Su7GcMnHZdWQzL1mzShzt4PfDdzIaRy-pF_KSqOs3c5BY4VY_NbpmqAPSjVsjeqfm2Tduk8ejxTgNyLaU,zip_recruiter,Research Data Analyst,Johns Hopkins University,,"Baltimore, MD, USA",,2023-12-04,yearly,47500,47500,USD,,0,,,"The Bloomberg Center for Public Innovation at Johns Hopkins University (the Center) seeks a Research Data Analyst to join the Data & Insights team. The first of its kind in the world, the Center aims ..."
https://www.ziprecruiter.com/k/l/AAJE0w4DWqJfQ-s8oB7v8jMZdz46KPad2GYZVepDzWPG9vI8d38qboO1VkR3-AxtNfe-YYmBXmdn7Wn9hbyNkj-H4GOb3m30lYp6FxAhP8zSv2JpH-WoyTnjVUU6gq_8atF4XHHnNghGfu9j-62zqoYff22ompAvFYSoWYKs9w9vgDot7bFE5M-TUe8BTMbivVPtMH4I7rS_nGSrubdHei8,zip_recruiter,Data Analyst,"Global Enterprise Services, LLC",,"Fort Meade, MD, USA",fulltime,2023-12-04,,,,,,0,,,"Data Analyst GES is seeking a Data Analyst at Ft. Meade, MD. The selected candidate will require expertise in SQL databases, data visualization tools, and data manipulation to join our Defense Enclave Services (DES) team. This role will support data collection, standardization, and processing to support the discovery, analysis and design activities required to migrate common IT services from over twenty large-scale DoD agencies into DoDNet. GES needs the best talent in the industry to accommodate the size, scope, and complexity of this effort. A successful candidate will be technically well-rounded, producing quality work with special attention to the right details. Education and Experience: • MUST have strong writing skills and expect to perform extensive writing. • Bachelor’s degree with 4+ years of experience; additional years of directly applicable experience may be accepted in lieu of a degree. • Proficiency with enterprise-class server-based services such as: data analytics tools such as Microsoft SQL Server, PowerBI, Tableau and others. • DoD IAT Level II (Security+ ) certification or equivalent is required. Responsibilities: • Support the strategy to collect, organize, standard, and analyze a large volume of infrastructure data from over 30 different technologies, each contain tens of relevant data points. • Support the design and development of methods, processes, and systems to consolidate and analyze structured and unstructured, diverse sources including “big data” sources. • Work with cross-discipline teams to ensure connectivity between various data sources and business problems. • Identify meaningful insights, interprets, and communicates findings and recommendations. Knowledge and Skills: • Consulting firm experience. • Strong knowledge of IT infrastructure technologies. • ITIL certification. Clearance/Citizenship: • Must hold an active Secret security clearance. • Must be US Citizen Travel Requirements: • This position will involve minimal travel Location: Fort Meade, MDThe GES pay range for this job level is a general guideline only and not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job, education, experience, knowledge, skills, and abilities, as well as internal equity, alignment with market data, applicable bargaining agreement (if any), or other law."
https://www.ziprecruiter.com/k/l/AALZqluvlbuhdj4jSMmvJVQG0JtUWN8Jjj6257bW1_Sc4vuV60rMsVEBrUwjQqjnuS8_5iUgAqEsXVwWMZJTpRYKTO22lnFvYobFJXrWcwqzeNy84KMWDB5je27vh2vsgH2DOpEFlxoEMrSeF4TjULL2kYUTljtdpWexe3USo1sySovPzZdr4qR_kDWb12an_fTZ2sRrb3bpPqrT7qgFPkY,zip_recruiter,Data Analyst - CRM & Loyalty Marketing,Response Labs,,"Baltimore, MD, USA",,2023-12-04,,,,,,0,,,The Opportunity Response Labs is looking for a marketing savvy Data Analyst to help grow it's Strategy and Data department. We are building a team of talented digital strategists and analysts with a ...
