job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/embedded-software-developer-visionist-inc-JV_IC1153524_KO0,27_KE28,41.htm?jl=1009012817307",Embedded Software Developer*,"Visionist, Inc.","Annapolis Junction, MD",
"https://www.glassdoor.com/job-listing/lead-content-producer-zenimax-online-studios-JV_IC1153589_KO0,21_KE22,44.htm?jl=1008587808806",Lead Content Producer,ZeniMax Online Studios,"Hunt Valley, MD",4/14/2023
"https://www.glassdoor.com/job-listing/data-scientist-multiple-levels-ts-sci-with-poly-required-red-alpha-JV_IC1153524_KO0,56_KE57,66.htm?jl=1009004167462",Data Scientist - Multiple Levels (TS/SCI with Poly Required),Red Alpha,"Annapolis Junction, MD",11/29/2023
"https://www.glassdoor.com/job-listing/data-scientist-multiple-levels-ts-sci-with-poly-required-red-alpha-llc-JV_IC1153524_KO0,56_KE57,70.htm?jl=1007924520255",Data Scientist - Multiple Levels (TS/SCI with Poly Required),Red Alpha LLC,"Annapolis Junction, MD",6/7/2022
"https://www.glassdoor.com/job-listing/senior-technical-artist-animation-zenimax-online-studios-JV_IC1153589_KO0,33_KE34,56.htm?jl=1006136123215",Senior Technical Artist (Animation),ZeniMax Online Studios,"Hunt Valley, MD",9/28/2019
"https://www.glassdoor.com/job-listing/erp-report-bi-developer-johns-hopkins-applied-physics-laboratory-apl-JV_IC1153871_KO0,23_KE24,68.htm?jl=1008642976309",ERP Report / BI Developer,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD",5/12/2023
"https://www.glassdoor.com/job-listing/target-systems-analyst-visionist-inc-JV_KO0,22_KE23,36.htm?jl=1008788762095",Target Systems Analyst,"Visionist, Inc.",United States,7/31/2023
"https://www.glassdoor.com/job-listing/gameplay-engineer-zenimax-online-studios-JV_IC1153589_KO0,17_KE18,40.htm?jl=1008037947558",Gameplay Engineer,ZeniMax Online Studios,"Hunt Valley, MD",7/29/2022
"https://www.glassdoor.com/job-listing/mid-web-developer-belay-technologies-JV_IC1153524_KO0,17_KE18,36.htm?jl=1008982031047",Mid Web Developer,Belay Technologies,"Annapolis Junction, MD",11/15/2023
"https://www.glassdoor.com/job-listing/lead-content-producer-zenimax-media-inc-JV_IC1153589_KO0,21_KE22,39.htm?jl=1008588313286",Lead Content Producer,ZeniMax Media Inc.,"Hunt Valley, MD",4/14/2023
"https://www.glassdoor.com/job-listing/senior-gameplay-ai-engineer-zenimax-online-studios-JV_IC1153589_KO0,27_KE28,50.htm?jl=1008733839141",Senior Gameplay AI Engineer,ZeniMax Online Studios,"Hunt Valley, MD",7/1/2023
"https://www.glassdoor.com/job-listing/senior-technical-artist-animation-zenimax-media-inc-JV_IC1153589_KO0,33_KE34,51.htm?jl=1006278321533",Senior Technical Artist (Animation),ZeniMax Media Inc.,"Hunt Valley, MD",12/30/2019
"https://www.glassdoor.com/job-listing/scientific-software-developer-johns-hopkins-applied-physics-laboratory-apl-JV_IC1153871_KO0,29_KE30,74.htm?jl=1008957693506",Scientific Software Developer,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD",11/1/2023
"https://www.glassdoor.com/job-listing/software-developer-belay-technologies-JV_IC1153524_KO0,18_KE19,37.htm?jl=1009000386789",Software Developer,Belay Technologies,"Annapolis Junction, MD",11/27/2023
"https://www.glassdoor.com/job-listing/lead-gameplay-engineer-zenimax-online-studios-JV_IC1153589_KO0,22_KE23,45.htm?jl=1008316676446",Lead Gameplay Engineer,ZeniMax Online Studios,"Hunt Valley, MD",11/30/2022
https://www.ziprecruiter.com/ek/l/AAJ6mSUx8ZNhSGawj57jvVItp8J962T9k6at5fweXbsIGgU3N6RpbBrWmEu3ckt3qjcOh3VuYP23pqz2XRKmhD4By31XGw5Te04T6cSsjcM5jXqLpL46HVUPe3lhq_ECFQOKAA983jcRw990MabACFg-2Ln1OCUFrdfKL9ZmeYLpEv2dl-W-sgnyoXUdcni7ZwKsLh2qmhBaeBkCdFg7SenrA2gF6aU-uo6I,Sr. Software Engineer Stf - Clearance Required,Lockheed Martin,"Hanover, MD, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKmaQNcuhlvzsnFbfS0v-DTj-5fzn68Mf6bIEnGuBE3VXeT-mY3tmMoQEqTRGMm3NY59XEjfemUDguoIx49kKsdWdArUjTOUClLpzBy9B79C5zZMRnzzZ6zRo8ZgarukpDvJdN1rYBlzsuSDuUyQQnaKJmVasr90ljafi1k22ieNw2AbzQGN6UqHd-rJq3H5H9pArfjgGPfeCfk3HYkSQ,Senior Gameplay Engineer,ZeniMax Media Inc.,"Cockeysville, MD, USA",12/4/2023
