job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/sr-cno-developer-ring0-technologies-inc-JV_KO0,16_KE17,39.htm?jl=1008937528338",Sr CNO Developer,"Ring0 Technologies, Inc.",United States,10/20/2023
"https://www.glassdoor.com/job-listing/cno-test-automation-engineer-ring0-technologies-inc-JV_IC1165756_KO0,28_KE29,51.htm?jl=1008936999613",CNO Test Automation Engineer,"Ring0 Technologies, Inc.","Fort Meade, MD",10/20/2023
"https://www.glassdoor.com/job-listing/principal-cloud-software-engineer-novul-solutions-JV_IC1153524_KO0,33_KE34,49.htm?jl=1008967345364",Principal Cloud Software Engineer,Novul Solutions,"Annapolis Junction, MD",11/7/2023
"https://www.glassdoor.com/job-listing/embedded-developer-woodsong-technologies-llc-JV_IC1165756_KO0,18_KE19,44.htm?jl=1008788998816",Embedded Developer,"Woodsong Technologies, LLC","Fort Meade, MD",8/1/2023
"https://www.glassdoor.com/job-listing/software-engineer-level-0-dept-11-7970-que-technology-group-JV_IC1165756_KO0,38_KE39,59.htm?jl=1008723867129",Software Engineer - Level 0 (Dept 11) 7970,Que Technology Group,"Fort Meade, MD",6/26/2023
"https://www.glassdoor.com/job-listing/software-engineer-mid-level-novul-solutions-JV_IC1153524_KO0,27_KE28,43.htm?jl=1008946560374",Software Engineer Mid Level,Novul Solutions,"Annapolis Junction, MD",10/26/2023
"https://www.glassdoor.com/job-listing/software-engineer-level-2-dept-17-408-que-technology-group-JV_IC1165756_KO0,37_KE38,58.htm?jl=1008646194496",Software Engineer - Level 2 (Dept 17) 408,Que Technology Group,"Fort Meade, MD",5/15/2023
"https://www.glassdoor.com/job-listing/embedded-developer-multiple-levels-skaggs-consulting-inc-JV_IC1153584_KO0,34_KE35,56.htm?jl=1008926955316",Embedded Developer (Multiple Levels),"Skaggs Consulting, Inc.","Hanover, MD",10/15/2023
"https://www.glassdoor.com/job-listing/application-developer-ii-skaggs-consulting-inc-JV_IC1153584_KO0,24_KE25,46.htm?jl=1008878207834",Application Developer II,"Skaggs Consulting, Inc.","Hanover, MD",9/20/2023
"https://www.glassdoor.com/job-listing/sr-software-engineer-architect-the-dei-group-JV_IC1153546_KO0,30_KE31,44.htm?jl=1008195517820",Sr. Software Engineer/Architect,The DEI Group,"Columbia, MD",10/10/2022
"https://www.glassdoor.com/job-listing/site-reliability-engineer-novul-solutions-JV_IC1153524_KO0,25_KE26,41.htm?jl=1008965418080",Site Reliability Engineer,Novul Solutions,"Annapolis Junction, MD",11/6/2023
"https://www.glassdoor.com/job-listing/back-to-work-ireturn-software-engineers-maryland-mission-systems-northrop-grumman-JV_IC1165775_KO0,64_KE65,81.htm?jl=1008911158767",Back to Work/iReturn Software Engineers--Maryland Mission Systems,Northrop Grumman,"Linthicum, MD",10/6/2023
"https://www.glassdoor.com/job-listing/site-reliability-analyst-sra-vitg-corp-JV_IC1153536_KO0,28_KE29,38.htm?jl=1009001910003",Site Reliability Analyst (SRA),VITG Corp,"Catonsville, MD",11/28/2023
"https://www.glassdoor.com/job-listing/software-engineer-johns-hopkins-applied-physics-laboratory-apl-JV_IC1153871_KO0,17_KE18,62.htm?jl=1008957722072",Software Engineer,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD",11/1/2023
"https://www.glassdoor.com/job-listing/sr-software-engineer-stf-clearance-required-lockheed-martin-JV_IC1153584_KO0,43_KE44,59.htm?jl=1008809053144",Sr. Software Engineer Stf - Clearance Required,Lockheed Martin,"Hanover, MD",8/10/2023
https://www.ziprecruiter.com/ek/l/AALNdNKI2JMaDkPk7XByegdpeRA_Q9-LUyGWsN7vnCwevqWE4ly0tmIO7e2gvXyq5r3nKnCUHoyBcgRqBXmEgZSUxEH5Ul0QYFXdpLdMD-9dt81VHnQqvIW5rhlfj8kTT-C3ls2fLg8e1gZWgIK7CfYSesravm2dfHgxFuSl50WoEnUNMRvFHp3dMmASwbLSceqYgPp-BHtzdZiIwR5kM92w7VW2f3UZUEOg,Sr. Software Engineer Stf - Clearance Required,Lockheed Martin,"Hanover, MD, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJVzfOrxdbjby9c0_62IGiZay77y5KZwBwInYtRLk1k9FawSiH4jZ66GHaSJZwzGr0wNvCFGCDG95EgzF5IpkEX24lRPufNS2Spz0GtEQOFvad1JdakPPYmPDT8mPpe-g8bn9cuhFitV4MyBQggifzMEEiqA3iGeTyRlui9Iwxu7rIvVGSQuooaJTximFpDishH_Vac8Di01DWuob8PIq3QreXgb5upOBmZJw,Software Engineer L1 QKFO - TS/SCI FS Poly required,Visionary Technology Consultants,"Annapolis Junction, MD, USA",12/4/2023
https://www.ziprecruiter.com/ek/l/AALBo6u1xjv_C5YsBKGe09zTJOVqBvgc6fomjF2iXRAYihrVIih-YDtOnItbHi_8LixKeIoAuecdNWr3TsMIojRk323zV_J4TMO4Fa61SC6_ZkipY7zssDO7M3NR16VbjRHzXJWf707o1xA3JnjfukdLvWxpXbGpDKS7gJObfZ448b21UuQcqC0RMhiqBhY4W5P-P-4w7fxneW23M1fWVZE149C-UJQBYiNR,Cyber Software Engineer Sr.,Lockheed Martin,"Hanover, MD, USA",12/4/2023
https://www.ziprecruiter.com/ek/l/AAJcwWxfEH_pMJksWk9qcZ-vFx8qQy4hxMvt9PVmqEk2tMM5UdWD_694gT94GND-kZYjW2W49gNDiCpLr-OxkLQP-jzHANIwsdvM3mtBU4dokAJ49okjd1c-do6cb97IE3MACBTv4blYQDZsJa4yPKu0tBVJwdhM4e2jG6WRs1J-SIhGOkMTFtltACvr6tuFmJ5w5Pwwg1E-YYFbIOF6ja6AAUR29GTy0v9_,Senior Insider Threat Software Engineer,BOEING,"Annapolis Junction, MD, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAITJPMC4Cpo71Rsctde-d1tlo2n0P2Q4_swe3ZWkyaDj-XdFVHcaiDw5Ggjb9G09Xumhr97uZzUqwRk1idx48yXLBYgcBulPwJY82ZOy-rg_p59v9zkWyExR1cxhDf4Nsp1NAUqlSKgHcPu3nsA2VcBU5mExFfmfO-uTq2gBDjGl4YdAS8tN5gFj9N4xggbFNHTer4YDPhPnauvQVDjmqwFT81XEygAmzr7,Senior Software Engineer,"M-Partners, Inc.","Annapolis, MD, USA",12/4/2023
https://www.ziprecruiter.com/ek/l/AAIrSRgsSj4kVhhrgrQKSSrN5EmotskSlCU7miY8_ZD4SCjSVF6hckl_WgBbvqVgtmYpdiXBnnmWfEJ0Jp5rXJn_23eFwqSPMAuf_EuiVCgayj74OuO3YD8qFGRaBm3jelc3eLtTt2YRnvpNlA1BQMEVRc6XVzPDifF674nbg4O_jckmhX8bxq66T-QUqGGPVlsPGdPVBMm31v12S7GhExkvQ4ojl-jMMOKI,Experienced Software Engineer,BOEING,"Annapolis Junction, MD, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJsFlgYAgRCzjKGOimhIQ2nXVWCI3KQQJGQdOyFDEDWYWc1ka4-Xq5DqA41OUkK8WvWltwEYFTBp5XYsJhuFQQjaNSB7OvYDDlphGzd0nOWNAUhcLv0Ym87byRbZxU71DLvzHQB2ADL6BCoxN110RFCURwQYRDq7MzcovWGuUnt3e9G90nHw_fq-zzEsKJCf7Sh-OWIl0smMgbEIlCy6N6TMTt_616D_92eMw,Software Engineer (with SharePoint experience),ASHAEL TEK SOLUTIONS LLC,"Columbia, MD, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIFzb_Zv1-g11r4CE-D7ZRejybXpdr5X0jdYS97alxq2b_UE3d5SwOdgUMX4pFFS8PbRDj-dYlNoNYWj4AMLbbzJLbajn7OgEnAP-Nc_aqXDTbavAWDq8qHXcdbJfJpgSMAL92Bq57U2aRQb1yeg2JJ2XHq3KqAIrQHPvVdCgVykWjuSM6IUVPJALoFzwZVNQpvu63QO3t-UNgjgjoyc4E,Medical Device Software Engineer,"Latitude, Inc.","Baltimore, MD, USA",12/4/2023
