job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
"https://www.glassdoor.com/job-listing/linux-kernel-driver-developer-idaho-scientific-JV_IC1128289_KO0,29_KE30,46.htm?jl=1008961946192",glassdoor,Linux Kernel Driver Developer,Idaho Scientific,,"Salt Lake City, UT",,2023-11-03,yearly,80000,150000,USD,False,,,,
"https://www.glassdoor.com/job-listing/embedded-software-developer-idaho-scientific-JV_IC1128289_KO0,27_KE28,44.htm?jl=1008837572200",glassdoor,Embedded Software Developer,Idaho Scientific,,"Salt Lake City, UT",,2023-08-28,yearly,80000,140000,USD,False,,,,
"https://www.glassdoor.com/job-listing/real-time-embedded-developer-idaho-scientific-JV_IC1128289_KO0,28_KE29,45.htm?jl=1008937508782",glassdoor,Real Time Embedded Developer,Idaho Scientific,,"Salt Lake City, UT",,2023-10-20,yearly,80000,140000,USD,False,,,,
"https://www.glassdoor.com/job-listing/firmware-developer-idaho-scientific-JV_IC1128289_KO0,18_KE19,35.htm?jl=1008961941410",glassdoor,Firmware Developer,Idaho Scientific,,"Salt Lake City, UT",,2023-11-03,yearly,75000,180000,USD,False,,,,
"https://www.glassdoor.com/job-listing/senior-firmware-engineer-alta-labs-JV_IC1128274_KO0,24_KE25,34.htm?jl=1008818795797",glassdoor,Senior Firmware Engineer,Alta Labs,,"Draper, UT",,2023-08-17,yearly,140643,201575,USD,False,,,,
"https://www.glassdoor.com/job-listing/senior-software-engineer-sigint-ts-sci-preferred-onsite-salt-lake-city-ut-ast-ci-raytheon-JV_IC1128289_KO0,80_KE81,89.htm?jl=1009007123430",glassdoor,"Senior Software Engineer -SIGINT- TS/SCI Preferred - Onsite- Salt Lake City, UT - (AST-CI)",Raytheon,,"Salt Lake City, UT",,2023-12-01,yearly,58239,81140,USD,False,,,,
"https://www.glassdoor.com/job-listing/backend-node-js-engineer-wasatch-group-JV_IC1128274_KO0,24_KE25,38.htm?jl=1008602301225",glassdoor,Backend Node.JS Engineer,Wasatch Group,,"Draper, UT",,2023-04-21,yearly,100000,100000,USD,False,,,,
"https://www.glassdoor.com/job-listing/automation-engineer-tecma-aries-america-JV_KO0,19_KE20,39.htm?jl=1008813444920",glassdoor,Automation Engineer,Tecma Aries America,,United States,,2023-08-14,yearly,80000,90000,USD,False,,,,
"https://www.glassdoor.com/job-listing/software-developer-university-of-utah-JV_IC1128289_KO0,18_KE19,37.htm?jl=1008987001182",glassdoor,Software Developer,University of Utah,,"Salt Lake City, UT",,2023-11-18,yearly,65000,75000,USD,False,,,,
"https://www.glassdoor.com/job-listing/digital-innovation-cognitive-software-engineer-principal-digital-innovation-cognitive-software-engineer-10854-northrop-grumman-JV_KO0,109_KE110,126.htm?jl=1009007001110",glassdoor,Digital Innovation Cognitive Software Engineer/ Principal Digital Innovation Cognitive Software Engineer – 10854,Northrop Grumman,,,,2023-12-01,yearly,95900,177000,USD,True,,,,
"https://www.glassdoor.com/job-listing/scientist-software-engineer-fpga-l3harris-technologies-JV_IC1128289_KO0,32_KE33,54.htm?jl=1009012489700",glassdoor,"Scientist, Software Engineer (FPGA",L3Harris Technologies,,"Salt Lake City, UT",,,yearly,107295,146141,USD,False,,,,
"https://www.glassdoor.com/job-listing/web-developer-3form-JV_IC1157900_KO0,13_KE14,19.htm?jl=1008923174405",glassdoor,Web Developer,3form,,"West Valley City, UT",,2023-10-12,yearly,110000,110000,USD,False,,,,
"https://www.glassdoor.com/job-listing/sr-specialist-software-engineer-fpga-design-l3harris-technologies-JV_IC1128289_KO0,43_KE44,65.htm?jl=1009012489712",glassdoor,"Sr Specialist, Software Engineer (FPGA Design)",L3Harris Technologies,,"Salt Lake City, UT",,,yearly,93071,131909,USD,False,,,,
"https://www.glassdoor.com/job-listing/manager-software-engineering-l3harris-technologies-JV_IC1128289_KO0,28_KE29,50.htm?jl=1008970507593",glassdoor,"Manager, Software Engineering",L3Harris Technologies,,"Salt Lake City, UT",,2023-11-09,yearly,109170,146557,USD,False,,,,
"https://www.glassdoor.com/job-listing/tridion-developer-hybrid-or-remote-the-judge-group-JV_IC1128289_KO0,34_KE35,50.htm?jl=1008920637395",glassdoor,Tridion Developer-- HYBRID or Remote,The Judge Group,,"Salt Lake City, UT",,2023-10-11,,,,,False,,,,
