job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
"https://www.glassdoor.com/job-listing/systems-administrator-executech-JV_IC1150505_KO0,21_KE22,31.htm?jl=1008884429955",glassdoor,Systems Administrator,Executech,,"Seattle, WA",,2023-09-22,yearly,75000,85000,USD,False,,,,
"https://www.glassdoor.com/job-listing/lead-it-platform-systems-engineer-sound-transit-JV_IC1150505_KO0,33_KE34,47.htm?jl=1008742809045",glassdoor,Lead IT Platform Systems Engineer,Sound Transit,,"Seattle, WA",,2023-07-05,yearly,103490,147282,USD,False,,,,
"https://www.glassdoor.com/job-listing/senior-it-systems-engineer-linux-sound-transit-JV_IC1150505_KO0,32_KE33,46.htm?jl=1008898049319",glassdoor,Senior IT Systems Engineer-Linux,Sound Transit,,"Seattle, WA",,2023-09-30,yearly,101731,139896,USD,False,,,,
"https://www.glassdoor.com/job-listing/senior-system-engineer-sagemcom-92500-JV_IC1150505_KO0,22_KE23,37.htm?jl=1008213210055",glassdoor,Senior System Engineer,SAGEMCOM (92500),,"Seattle, WA",,2022-10-17,yearly,110000,135000,USD,False,,,,
"https://www.glassdoor.com/job-listing/systems-development-engineer-adc2s-amazon-development-center-us-inc-JV_IC1150505_KO0,34_KE35,67.htm?jl=1008963060207",glassdoor,"Systems Development Engineer, ADC2S","Amazon Development Center U.S., Inc.",,"Seattle, WA",,2023-11-05,yearly,103400,103400,USD,False,,,,
"https://www.glassdoor.com/job-listing/senior-unified-communications-engineer-avaya-exp-req-optivor-technologies-llc-JV_KO0,52_KE53,77.htm?jl=1007867206230",glassdoor,Senior Unified Communications Engineer (Avaya exp req.),"Optivor Technologies, LLC",,United States,,2022-05-16,yearly,100000,150000,USD,False,,,,
"https://www.glassdoor.com/job-listing/network-engineer-hybrid-position-911-center-valley-communications-center-JV_IC1150471_KO0,43_KE44,72.htm?jl=1008979409946",glassdoor,Network Engineer (Hybrid position) 911 Center,Valley Communications Center,,"Kent, WA",,2023-11-14,monthly,9075,11521,USD,False,,,,
"https://www.glassdoor.com/job-listing/systems-engineer-security-focus-cerium-networks-inc-JV_IC1150505_KO0,31_KE32,51.htm?jl=1008871062180",glassdoor,Systems Engineer – Security Focus,Cerium Networks Inc,,"Seattle, WA",,2023-09-15,yearly,91516,137274,USD,False,,,,
"https://www.glassdoor.com/job-listing/p8-mission-systems-communications-engineer-associate-and-mid-level-boeing-JV_IC1164776_KO0,66_KE67,73.htm?jl=1008886178333",glassdoor,P8 Mission Systems Communications Engineer (Associate and Mid-Level),BOEING,,"Tukwila, WA",,2023-09-25,yearly,57381,89424,USD,False,,,,
"https://www.glassdoor.com/job-listing/wi-fi-and-networking-engineer-ii-telecommunications-technical-services-JV_KO0,32_KE33,70.htm?jl=1008904739071",glassdoor,Wi-Fi and Networking Engineer II,Telecommunications Technical Services,,United States,,2023-10-03,yearly,90000,90000,USD,False,,,,
"https://www.glassdoor.com/job-listing/natrium-process-integration-engr-100-remote-system-one-JV_IC1150442_KO0,43_KE44,54.htm?jl=1008989687218",glassdoor,"Natrium Process Integration Engr, 100% Remote",System One,,"Bellevue, WA",,2023-11-20,hourly,90,90,USD,False,,,,
"https://www.glassdoor.com/job-listing/microsoft-dynamics-solution-architect-weyerhaeuser-JV_IC1150505_KO0,37_KE38,50.htm?jl=1008970049909",glassdoor,Microsoft Dynamics Solution Architect,Weyerhaeuser,,"Seattle, WA",,2023-11-09,yearly,122700,184200,USD,False,,,,
"https://www.glassdoor.com/job-listing/associate-engineer-ni-academy-lumen-JV_IC1150471_KO0,29_KE30,35.htm?jl=1008994117432",glassdoor,Associate Engineer NI Academy,Lumen,,"Kent, WA",,2023-11-22,yearly,53625,67031,USD,False,,,,
"https://www.glassdoor.com/job-listing/it-systems-engineer-atlassian-spacex-JV_IC1150499_KO0,29_KE30,36.htm?jl=1009012951686",glassdoor,IT Systems Engineer (Atlassian),SpaceX,,"Redmond, WA",,,yearly,120000,160000,USD,False,,,,
"https://www.glassdoor.com/job-listing/beta-engineer-microsoft-defender-for-office-365-microsoft-JV_IC1150499_KO0,47_KE48,57.htm?jl=1009000181755",glassdoor,Beta Engineer - Microsoft Defender for Office 365,Microsoft,,"Redmond, WA",,2023-11-27,yearly,101200,194800,USD,False,,,,
https://www.indeed.com/viewjob?jk=51754374b27f1931,indeed,IT Systems Engineer,SpaceX,https://www.indeed.com/cmp/Spacex,"Redmond, WA, USA",,2023-12-03,yearly,120000,160000,USD,False,1,,,"SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today, SpaceX is actively developing the technologies to make this possible, with the ultimate goal of enabling human life on Mars. IT SYSTEMS ENGINEER (ATLASSIAN) SpaceX is looking for an IT Systems Engineer to participate in driving best practices, adoption, and expansion of Atlassian Developer tools at SpaceX. Candidates should have experience in administering Bamboo or similar build environments, Bitbucket (Git or other Version Control Systems), and experience containerizing software builds. CI/CD at SpaceX supports our tooling around tooling software development and vehicle/mission development and providing CI/CD as a service is a crucial part of the SpaceX infrastructure. The person in this position should have strong overall technical skills, excellent customer service skills, and superior organizational and prioritization management skills. This candidate will need to flourish in a fast-paced and challenging environment. The candidate should be professionally motivated, exhibit leadership qualities, and bring ingenuity in order to excel at this position. RESPONSIBILITIES: Establish and promote best practices for the usage of code repository and deployment tools, such as Bitbucket and Bamboo respectively Work closely with development teams on engineering creative solutions which will enhance the day to day development operations Support Bitbucket and Bamboo administration Establish and promote best practices of Atlassian development tools Guide and maintain build servers in a mixed environment, preferably using Docker or Kubernetes Support the Atlassian DevOps tools at SpaceX by troubleshooting and resolving issues with application servers and build agents Design and support a large CI/CD build and deployment system Work with systems administration teams to assure solid administration and monitoring of the Linux servers and SQL environments supporting the Atlassian tools BASIC QUALIFICATIONS: Degree in an engineering or STEM discipline 5+ years of experience with code repository tools (e.g. Bitbucket, Gitlab, CI/CD tools) Scripting experience with Groovy, Python, or Bash Experience working with Docker or Kubernetes PREFERRED SKILLS AND EXPERIENCE: 8+ years of experience with code repository tools such as Bitbucket, Gitlab, and CI/CD tools like Bamboo or Jenkins Excellent understanding of CI/CD workflows and release schemes Experience with existing Bamboo/Bitbucket plugins in the Atlassian Marketplace Experience with the administration and the upgrade of Bitbucket and Bamboo in a corporate environment Experience in developing and supporting build servers in a mixed server environment Experience customizing and scripting system configurations using Ansible, Rundeck, or other similar technologies Comfortable working with mission critical, sensitive systems Works with a sense of urgency appropriate to the responsibilities ADDITIONAL REQUIREMENTS: Willing to work extended hours or weekends as necessary COMPENSATION AND BENEFITS: Pay Range: IT Systems Engineer: $120,000.00 - $160,000.00/per year Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year. ITAR REQUIREMENTS: To conform to U.S. Government space technology export regulations, including the International Traffic in Arms Regulations (ITAR) you must be a U.S. citizen, lawful permanent resident of the U.S., protected individual as defined by 8 U.S.C. 1324b(a)(3), or eligible to obtain the required authorizations from the U.S. Department of State. Learn more about the ITAR here SpaceX is an Equal Opportunity Employer; employment with SpaceX is governed on the basis of merit, competence and qualifications and will not be influenced in any manner by race, color, religion, gender, national origin/ethnicity, veteran status, disability status, age, sexual orientation, gender identity, marital status, mental or physical disability or any other legally protected status. Applicants wishing to view a copy of SpaceX's Affirmative Action Plan for veterans and individuals with disabilities, or applicants requiring reasonable accommodation to the application/interview process should notify the Human Resources Department at (310) 363-6000."
