job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/senior-medical-economics-analyst-longevity-health-plan-JV_KO0,32_KE33,54.htm?jl=1008871892702",Senior Medical Economics Analyst,Longevity Health Plan,United States,9/15/2023
"https://www.glassdoor.com/job-listing/systems-business-analyst-robert-half-JV_IC1128289_KO0,24_KE25,36.htm?jl=1008974381030",Systems Business Analyst,Robert Half,"Salt Lake City, UT",11/11/2023
"https://www.glassdoor.com/job-listing/medical-policy-analyst-state-of-utah-JV_IC1128289_KO0,22_KE23,36.htm?jl=1009009214563",Medical Policy Analyst,State of Utah,"Salt Lake City, UT",12/1/2023
"https://www.glassdoor.com/job-listing/data-science-analyst-university-of-utah-health-JV_IC1157881_KO0,20_KE21,46.htm?jl=1009004168925",Data Science Analyst,University of Utah Health,"Murray, UT",11/29/2023
"https://www.glassdoor.com/job-listing/project-business-analyst-intermountain-healthcare-JV_IC1157881_KO0,24_KE25,49.htm?jl=1009012679241",Project/Business Analyst,Intermountain Healthcare,"Murray, UT",
"https://www.glassdoor.com/job-listing/analyst-compensation-operations-adobe-JV_IC1128238_KO0,31_KE32,37.htm?jl=1009009841023","Analyst, Compensation Operations",Adobe,"Lehi, UT",12/2/2023
"https://www.glassdoor.com/job-listing/research-assistant-analyst-university-of-utah-JV_IC1128289_KO0,26_KE27,45.htm?jl=1009004431112",Research Assistant/Analyst,University of Utah,"Salt Lake City, UT",11/30/2023
"https://www.glassdoor.com/job-listing/business-systems-analyst-hybrid-work-schedule-enterprise-services-JV_IC1128283_KO0,45_KE46,65.htm?jl=1009013000294",Business Systems Analyst (hybrid work schedule),Enterprise Services,"Midvale, UT",
"https://www.glassdoor.com/job-listing/risk-management-analyst-salt-lake-city-corp-JV_IC1128289_KO0,23_KE24,43.htm?jl=1009002066223",Risk Management Analyst,SALT LAKE CITY CORP,"Salt Lake City, UT",11/28/2023
"https://www.glassdoor.com/job-listing/application-support-analyst-process-control-software-or-data-historian-or-hmi-or-scada-software-cgi-group-inc-JV_IC1128289_KO0,95_KE96,109.htm?jl=1009007013623",Application Support Analyst (process control software or Data Historian or HMI or SCADA software),"CGI Group, Inc.","Salt Lake City, UT",12/1/2023
"https://www.glassdoor.com/job-listing/senior-business-analyst-nice-systems-JV_IC1128290_KO0,23_KE24,36.htm?jl=1009004389869",Senior Business Analyst,NICE Systems,"Sandy, UT",11/30/2023
"https://www.glassdoor.com/job-listing/is-business-analyst-ii-biomérieux-JV_IC1128289_KO0,22_KE23,33.htm?jl=1008999918111",IS Business Analyst II,bioMérieux,"Salt Lake City, UT",11/27/2023
"https://www.glassdoor.com/job-listing/supply-chain-systems-analyst-intermountain-healthcare-JV_IC1128283_KO0,28_KE29,53.htm?jl=1009009441452",Supply Chain Systems Analyst,Intermountain Healthcare,"Midvale, UT",12/1/2023
"https://www.glassdoor.com/job-listing/business-analyst-real-estate-technical-services-midvale-ut-enterprise-services-JV_IC1128283_KO0,58_KE59,78.htm?jl=1009013000396","Business Analyst - Real Estate Technical Services - Midvale, UT",Enterprise Services,"Midvale, UT",
"https://www.glassdoor.com/job-listing/parts-business-analyst-wheeler-machinery-co-JV_IC1128289_KO0,22_KE23,43.htm?jl=1008984332597",Parts Business Analyst,Wheeler Machinery Co,"Salt Lake City, UT",11/16/2023
https://www.indeed.com/viewjob?jk=b19e1111a95f0ee1,Business Systems Analyst,Enterprise Services,"Midvale, UT, USA",12/3/2023
https://www.indeed.com/viewjob?jk=3f9d190332acdd4b,Real Estate Analyst,Enterprise Services,"Midvale, UT, USA",12/3/2023
https://www.indeed.com/viewjob?jk=e713cff531b151ca,Analytics Consultant,Wells Fargo,"Salt Lake City, UT, USA",12/2/2023
https://www.indeed.com/viewjob?jk=f56093cb4dcd95a2,Business Analyst,Intermountain Healthcare,"Murray, UT, USA",12/3/2023
https://www.indeed.com/viewjob?jk=4081c952a4575303,Compensation Analyst,Adobe,"Lehi, UT, USA",12/1/2023
https://www.indeed.com/viewjob?jk=9eba08a1304f8fbf,Application Analyst,"CGI Group, Inc.","Salt Lake City, UT, USA",11/29/2023
https://www.indeed.com/viewjob?jk=c4c5de39287b1956,Supply Chain Analyst,Intermountain Healthcare,"Midvale, UT, USA",11/30/2023
https://www.indeed.com/viewjob?jk=21b39eab56ba0334,Policy Analyst,State of Utah,"UT, USA",11/30/2023
https://www.indeed.com/viewjob?jk=001da672f21af84f,Application Analyst,"CGI Group, Inc.","Salt Lake City, UT, USA",11/29/2023
https://www.indeed.com/viewjob?jk=57b83fce37c06748,Policy Analyst,State of Utah,"Salt Lake City, UT, USA",11/30/2023
https://www.indeed.com/viewjob?jk=f473894b520faf1c,Research Analyst,University of Utah,"Salt Lake City, UT, USA",11/28/2023
https://www.indeed.com/viewjob?jk=2a6dac368aa27f37,Senior Business Analyst,NICE Systems,"Sandy, UT, USA",11/28/2023
https://www.indeed.com/viewjob?jk=06528d3f0a154d96,Research Analyst,University of Utah,"Salt Lake City, UT, USA",11/29/2023
https://www.indeed.com/viewjob?jk=d475b416992127f9,Data Scientist,University of Utah Health,"Murray, UT, USA",11/28/2023
https://www.indeed.com/viewjob?jk=5e1d3c10910ac92a,Risk Manager,SALT LAKE CITY CORP,"Salt Lake City, UT, USA",11/27/2023
https://www.ziprecruiter.com/k/l/AAINyeo9tlN99jpL_oC8p4WheW0ydKTTtIkL9md40W9lzz3pn0q1c2z0TagHxd-HJ2FflKjEjMamGGPmlpXMc6UlqGAImEO4JbfSU4rIlgoPPXODG8bOANga5i-RdkOjLZU0hOYknwwRiOTK3zS86cK8xGmQiuetPJ5ls-o8OEVUejro2uTmlYbFYxJIy4Fqw-D-Px126pzMyzHHKwxn44b8949cyhuGlrYA,Data Analyst,Ohio Shared Information Services Inc,"Salt Lake City, UT, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIpG_eZRdQLnioaoqcI8iTMqhGORNe-D4J9GxWC9VL9BG0CtR6COYS6q-OGQAAqyK6SYaS7MzCqrtBOpMfglp-E6AmbXpllhBbNkMWpN6MIytN_3EvgIcb5B8M8f3b-DuFFikxAtA51TMWaW6B4PRbaPfcOB9vrkNEzuriZ_S0PcunqqEumZRyezurYDnUtybInu_GkC7Qz5iTjRffzNg,Refugee Data Analyst,Catholic Community Services,"Salt Lake City, UT, USA",12/4/2023
