job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/systems-engineer-arkham-technology-ltd-JV_IC1128218_KO0,16_KE17,38.htm?jl=1008892846200",Systems Engineer,Arkham Technology Ltd.,"Layton, UT",9/27/2023
"https://www.glassdoor.com/job-listing/senior-unified-communications-engineer-avaya-exp-req-optivor-technologies-llc-JV_KO0,52_KE53,77.htm?jl=1007867206230",Senior Unified Communications Engineer (Avaya exp req.),"Optivor Technologies, LLC",United States,5/16/2022
"https://www.glassdoor.com/job-listing/principal-mission-systems-engineer-rd-systems-development-and-deployment-onsite-salt-lake-city-ut-active-ts-sci-required-ast-ci-raytheon-JV_IC1128289_KO0,127_KE128,136.htm?jl=1009007123330","Principal Mission/Systems Engineer - R&D Systems Development and Deployment - Onsite - Salt Lake City, UT - Active TS/SCI Required - (AST - CI)",Raytheon,"Salt Lake City, UT",12/1/2023
"https://www.glassdoor.com/job-listing/principal-system-engineering-intergration-test-seit-engineer-active-ts-sci-preferred-hybrid-schedule-salt-lake-city-ut-ast-ci-raytheon-JV_IC1128289_KO0,125_KE126,134.htm?jl=1009007123345","Principal System Engineering, Intergration & Test (SEIT) Engineer - Active TS/SCI Preferred - Hybrid Schedule - Salt Lake City, UT - (AST-CI)",Raytheon,"Salt Lake City, UT",12/1/2023
"https://www.glassdoor.com/job-listing/senior-systems-engineering-integration-test-engineer-seit-active-ts-sci-required-hybrid-salt-lake-city-ut-ast-ci-raytheon-JV_IC1128289_KO0,112_KE113,121.htm?jl=1009007123388","Senior Systems Engineering, Integration & Test Engineer(SEIT) - Active TS/SCI Required - Hybrid - Salt Lake City, UT - (AST-CI)",Raytheon,"Salt Lake City, UT",12/1/2023
"https://www.glassdoor.com/job-listing/railway-signaling-systems-engineer-system-one-JV_IC1128289_KO0,34_KE35,45.htm?jl=1008973713474",Railway Signaling Systems Engineer,System One,"Salt Lake City, UT",11/10/2023
"https://www.glassdoor.com/job-listing/wi-fi-and-networking-engineer-ii-telecommunications-technical-services-JV_KO0,32_KE33,70.htm?jl=1008904739071",Wi-Fi and Networking Engineer II,Telecommunications Technical Services,United States,10/3/2023
"https://www.glassdoor.com/job-listing/scientist-systems-engineer-l3harris-technologies-JV_IC1128289_KO0,26_KE27,48.htm?jl=1008912241639","Scientist, Systems Engineer",L3Harris Technologies,"Salt Lake City, UT",10/6/2023
"https://www.glassdoor.com/job-listing/field-network-engineer-routing-and-switching-ccnp-required-located-in-utah-philips-JV_IC1128289_KO0,74_KE75,82.htm?jl=1008906155269",Field Network Engineer (Routing and Switching) (CCNP required) (Located in Utah),Philips,"Salt Lake City, UT",10/4/2023
"https://www.glassdoor.com/job-listing/sr-specialist-network-systems-engineer-windows-l3harris-technologies-JV_IC1128289_KO0,46_KE47,68.htm?jl=1008873392677",Sr Specialist Network Systems Engineer (Windows),L3Harris Technologies,"Salt Lake City, UT",9/16/2023
"https://www.glassdoor.com/job-listing/senior-specialists-logistics-systems-engineer-l3harris-technologies-JV_IC1128289_KO0,45_KE46,67.htm?jl=1008985318440","Senior Specialists, Logistics Systems Engineer",L3Harris Technologies,"Salt Lake City, UT",11/17/2023
"https://www.glassdoor.com/job-listing/specialist-information-security-systems-engineer-isse-cryptography-design-l3harris-technologies-JV_IC1128289_KO0,73_KE74,95.htm?jl=1008966871877","Specialist, Information Security Systems Engineer (ISSE)- Cryptography Design",L3Harris Technologies,"Salt Lake City, UT",11/7/2023
"https://www.glassdoor.com/job-listing/signal-engineer-system-one-JV_IC1128289_KO0,15_KE16,26.htm?jl=1008923036783",Signal Engineer,System One,"Salt Lake City, UT",10/12/2023
"https://www.glassdoor.com/job-listing/electrical-systems-engineer-system-one-JV_IC1128289_KO0,27_KE28,38.htm?jl=1008923036772",Electrical Systems Engineer,System One,"Salt Lake City, UT",10/12/2023
"https://www.glassdoor.com/job-listing/senior-quality-engineer-biomerics-JV_IC1128289_KO0,23_KE24,33.htm?jl=1008984542199",Senior Quality Engineer,Biomerics,"Salt Lake City, UT",11/17/2023
https://www.indeed.com/viewjob?jk=0af5526bea5b2f79,Software Test Engineer,Enterprise Technology Operations,"Midvale, UT, USA",12/3/2023
https://www.indeed.com/viewjob?jk=dabc532a9515a4a7,Cloud Engineer,Enterprise Technology Operations,"Midvale, UT, USA",12/3/2023
https://www.indeed.com/viewjob?jk=036ac8c8ef05019a,Engineer,Enterprise Technology Operations,"Midvale, UT, USA",12/3/2023
https://www.indeed.com/viewjob?jk=77d49776b5bcc5eb,Systems Administrator,Cosm,"Salt Lake City, UT, USA",12/3/2023
https://www.indeed.com/viewjob?jk=95f3dbedc9ce1905,Network Engineer,Cosm,"Salt Lake City, UT, USA",12/3/2023
https://www.indeed.com/viewjob?jk=7356aa3a3244cb54,Communication Specialist,State of Utah,"UT, USA",12/3/2023
https://www.indeed.com/viewjob?jk=81de61d33deff753,HRIS Analyst,Dyno Nobel,"Salt Lake City, UT, USA",12/3/2023
https://www.indeed.com/viewjob?jk=b641e2ecf930763a,Electrical Engineer,Dennis Group Salt Lake City,"Salt Lake City, UT, USA",9/18/2023
https://www.indeed.com/viewjob?jk=d99102142c36cf30,Senior Electrical Engineer,Dennis Group Salt Lake City,"Salt Lake City, UT, USA",10/31/2023
https://www.indeed.com/viewjob?jk=b0afc640f863b90a,Senior Electrical Engineer,Dennis Group Salt Lake City,"Salt Lake City, UT, USA",11/1/2023
https://www.indeed.com/viewjob?jk=c9c38e439c9087ac,Senior System Engineer,L3Harris Technologies,"Salt Lake City, UT, USA",11/29/2023
https://www.indeed.com/viewjob?jk=452efc0ae112ac7d,Senior Software Engineer,Vivint Smart Home,"Lehi, UT, USA",11/29/2023
https://www.indeed.com/viewjob?jk=efbf31ee704bbf10,Senior Electrical Engineer,L3Harris Technologies,"Salt Lake City, UT, USA",11/29/2023
https://www.indeed.com/viewjob?jk=a179d5ffb5a59656,Sales Engineer,Telarus,"Sandy, UT, USA",11/28/2023
https://www.indeed.com/viewjob?jk=f5e8701ef22eee5a,Business Systems Analyst,ARUP Laboratories,"Salt Lake City, UT, USA",11/28/2023
https://www.ziprecruiter.com/k/l/AAJPw1Rmwcc6VKuVDT6U98APn61_Ia07Y-VFDbdJfvG0t71YS_KGPioGOZCDHZBgRyOh8F6lmOdiMOz2L8dxcj_RatEMeW_iflrjyucl3kq5ZOD_FVtQNKnS4TTQVfNL3HlVYNZSOsTL3W6jbZHuA7rqxat-jIiLhUg4ZCzc1MMbAgzogW5EqNQTd4pBLt78TzJ1-6j9HrafKG9vo4zZkWT3kzKCgQF0gzIa,Field Infrastructure Engineer,BCForward,"West Jordan, UT, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKvkfeTRf9vqQLI5cyyA7CAQUjnRmaNFISz_N6GDcds-vvJSW-M76yvnVX_bThWOCBGxgksWo0wupzgNdIutf6mLpwQy32J8lxmTjU_aAFjo6r_5EyLqiIwgjLsJxBnO5q2ObLYpAEwgdm7mFMqTvdrMM0tAYNs1JOqebc8PB-VbCYVfp9sBSDx80hFCKDZwQ2-g95-mcPwTCMnURtPdCE-YBJw4xyIO4tLfw,Apprentice CNC Service Engineer,Engineering and Manufacturing Company,"Salt Lake City, UT, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKI_2KZ_kGczPk6Qbvei3xaLnt7xRrQPjZVC4MzNR4P0DDTDX-zbkjfaE24XaAeiibAKRP7iDuf9Q0I9rilF-y8g2Jy8dsghgkey_JnPzT2blukitPmkru48fIxQYBxN9irxWuc5HFJt-TO30vAmbHc1WcYvJaOdo7nKbkgwtJpGHONgdyQeSqY4TEWzUTb1WvAGO2-HXFabxbfeyl2tVQ,Systems Engineer - Radiological,Nusano,"Salt Lake City, UT, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJOWNLlzAIQqe6ORB6rvt4pFZthkveCR-9r76TmBfQgjB6RnLyyqGr5qQPNhnCRyDfM1IHlqPoAa1ICbIQ-ftAVS_01FRPNGiPM6KjSkYp2DA0UDnwCWBCeeeiU2pWabaMN2zRCf1W-9uOABeFK820uh7FRwi4ikKNDasMfP5K-D927y2gwasPKUZzpTBhHIncrAp5R0FDqyTvfGD1IWOuSGhNvT9v5sbQLmw,Electrical Controls Engineer/Technician/Electrician,"Modern Control Solutions, LLC","Salt Lake City, UT, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJwp24TcjFDCqh2fRxh_zSDSPFN9vrCqTelzIZGiAmQk2485RvruG0GsM20e1YDkAURHKzy5mqTQ2B7eugic9SxGwXJ8waJqd8JVk4ZiCXU_aNN3yEiKIcr1nov_h9XL_3NHvZ901lLngiVQSpdXQ5672ilGuP5vWglY-UhhTP0oJCDdl_9BSIZalcq_DMgdubl94doPQNRBS44oPHaKd4,Systems Engineer,University of Utah,"Salt Lake City, UT, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAICZ-4ZhsWr7C4csFZaR8fSGdMh9nKgkA8rg6N1oUURhZA1voTBbMscWejNT_UlBSWgg_bxDOW9feYz0TH3V2yMdHznGO3M_EOJIcAvj_gQ8KW72SjH2XpRYJrPqjbYcCsvqUL-QpDIKPq6FFHBvlyWxHMtlwdZ6AKTCFo23aDZxlqjDvr7ywW0CAmT8YQ19KcKKZKY5yONaihxywrSk-SVEIPm7cvndh1zFw,Electrical Panel Test Engineer,Quality Electrical Systems,"West Jordan, UT, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKpihsrVpLkynE3QmRYfROLFSYJcngzyfGD3fOkIjnjSjIJt6TrXFkUgNMhANlrx_BJnu-pFytXeJh9yvjEwdRgveFxhg7zIPcvXfKQxjAJsWI041XyeGzhiauV4CALew_qtLxFV0vKaEXxv5nwJoP5qLxz5oaDHIAj1qPi63bKqaOApPwHrPuDbL0Kh5GoLxsJWK-zPVbkLSgaqxmMsSf2zWaZeqne0e-MzQ,Security Install Technician,Audio Video Systems,"Murray, UT, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAL3piyufpUmpeYT6qg-JFsMvqWQ4X6zRnDBY9gwTOeYlsIQ8zLaAOvY0QJNfNQoiTZEYvpolFZ1TPsrgzqVef6lSeoeUPgik-6FfKBtUMuHFewQETHRJ5JvWUeeqsAqgux4RNHv4BX-rZ2jnBtwDQm_odTPbbeucNH4LKrSQqfdJ1cXKbgo4yyRbXHOSg2WAVAyQycfgYQ5B4Z-xylQEnm0RMaZ1J4q9KNBWg,Principal Electrical Engineer,Your Talent Source,"Salt Lake City, UT, USA",12/4/2023
