job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/network-security-engineer-peraton-JV_IC1130324_KO0,25_KE26,33.htm?jl=1008912894241",Network Security Engineer,Peraton,"Virginia Beach, VA",10/6/2023
"https://www.glassdoor.com/job-listing/information-security-systems-engineer-innovasystems-JV_IC1130306_KO0,37_KE38,51.htm?jl=1008825417615",Information Security Systems Engineer,InnovaSystems,"Norfolk, VA",8/21/2023
"https://www.glassdoor.com/job-listing/network-security-engineer-peraton-JV_IC1130324_KO0,25_KE26,33.htm?jl=1008912894880",Network Security Engineer,Peraton,"Virginia Beach, VA",10/6/2023
"https://www.glassdoor.com/job-listing/cyber-threat-detection-engineer-peraton-JV_KO0,31_KE32,39.htm?jl=1009002016012",Cyber Threat Detection Engineer,Peraton,United States,11/28/2023
"https://www.glassdoor.com/job-listing/senior-engineer-cyber-security-florida-cancer-specialists-research-institute-JV_KO0,30_KE31,76.htm?jl=1008878448461",Senior Engineer Cyber Security,Florida Cancer Specialists & Research Institute,United States,9/20/2023
"https://www.glassdoor.com/job-listing/senior-security-engineer-i-infosec-kroll-JV_KO0,34_KE35,40.htm?jl=1009000100782","Senior Security Engineer I, InfoSec",Kroll,United States,11/27/2023
"https://www.glassdoor.com/job-listing/cybersecurity-engineer-amentum-JV_IC1130324_KO0,22_KE23,30.htm?jl=1008913880867",Cybersecurity Engineer,Amentum,"Virginia Beach, VA",10/7/2023
"https://www.glassdoor.com/job-listing/is-senior-cybersecurity-engineer-childrens-hospital-of-the-kings-daughters-JV_IC1130279_KO0,32_KE33,74.htm?jl=1008485088828",IS Senior Cybersecurity Engineer,Childrens Hospital of The Kings Daughters,"Chesapeake, VA",2/21/2023
"https://www.glassdoor.com/job-listing/network-engineer-virginia-beach-la-jolla-logic-JV_IC1130324_KO0,31_KE32,46.htm?jl=1009010336238",Network Engineer - Virginia Beach,La Jolla Logic,"Virginia Beach, VA",12/2/2023
"https://www.glassdoor.com/job-listing/engineer-cybersecurity-ii-del-rey-systems-and-technology-inc-JV_IC1130313_KO0,25_KE26,60.htm?jl=1008931727592","Engineer, Cybersecurity II","DEL REY Systems and Technology, Inc.","Portsmouth, VA",10/18/2023
https://www.ziprecruiter.com/k/l/AAIp3kn5NI1B-hT4FbQ1lmjRgkeiR9Co2sxHhvUn52oxDExUweXHOCqd_HQHl2IfWdk9rz4yti7seflihDkwVUHiBaX1bBxPqRvhDQabqY6uhYmkN7uM9J-L31OgSMzUTkNwAu57YiMxZeD3w_SpoRWVx7Z-HyfzUhGt3mSe8ds--5waLa9KX3qQY0oKwoQRZ6CexiNvedDSCEpEaH-8NeChIMNGLxIq9P23,Network Security Engineer,Imagine One Technology & Management,"Norfolk, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIahrSSgHG6WQRnTYhgY99scS1N1q3EJdhFx6absK5Xrz7qRPguKAIoZkUcB7ABda9cI6zKEBxcxr6aYVM76Z2FO2dLKRdI1rVOLPGK-G7kojWss4xMvNREjaQI0xX4acuP3mEyBI5rmmajC6u4Tv12vQ9aluqufcB0JzsMUAtb8Thmo_0FtaSl9XXVZ7pME1TH1xE9tH6pZJcZj2x5mA,IS Senior Cybersecurity Engineer,Childrens Hospital of The Kings Daughters,"Chesapeake, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKMz9mc8dPHwMtXAN_S73JCduYK-VVfupySNhRWyj1mmDWTngIhGWHUsh1O08jqJptM8iU1S29D7T43Ln7BR5QUZpzii7q8Jl5laPipo6mvJu9oXQiBlKQ4O_Pioe1I_2w_RBCtj1dTVL8S0JCkVxc8alkYcjhNV2kmqA8felTdKDB52Tgoi3yEdZwtM2V366FaWVeRn1ZxYkCq0GGssm0-kHB1-mo_xEHDsQ,FLUID POWER ENGINEER,Plasser American Corp,"Chesapeake, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIk67gQDTyuK8gDDkC7sDpK2Fn8rUJO7mOEec0svVfsjBd5v9DoXiyh7citk4wGfmcukj3Lp-0kI9wm452-fcMR9-JlRuo39XsnYq82MBqTh1k4v048N9trskLZFsMY0nWDb1oDv64MPFAeKowELk9h9l1UiGyCXVPzIqkLaSwoQiXbaYijf4Pu5LbHFk-vJQC7Tgoo_VrB-fudtpSylw,Cybersecurity Engineer,Amentum,"Virginia Beach, VA, USA",12/4/2023
https://www.ziprecruiter.com/ek/l/AALHdg8u8Y50Dl1I4TLXr7UproaU6WVOB_a_x-B7s3CXvMx9pfGJAh1gkgyBRujW6TwcXWog1al7bEdKm-FBvBe_muQMW265gSr67xwY5fwW7N_tHAxfY1Y9YZB_cg62ywMoKW-qTKnstnkBLFIUyWD8gap27KCOHHa3zUFzK99AOj5Mn4sd95z0KlvLSu2LtDX2h0kZLVfyxap1lIFU5QWU1GS6h14xlw,Network Security Engineer,Peraton,"Virginia Beach, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJVXB4CtvDox1dH4kGg9ErOjU1GBjaV9saL1mxJd_3sA1ysSwPcIdz187viTRxGkoUAxB4kenOA0MoEHRDafOR9tN1_Et_8dKzgq_myPWW7rH7WYcfhCwgRLX-B-Ow1WIFIPCCPxZOLzyVl8abDjV4EhkXgPDuUb3TraM5uGjAOgWbM-9W6D2dvvIeKMufx3MSp5yDg3f7m241I8NuxJdg,Cyber Security Analyst,"Falconwood, Inc.","Norfolk, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIEAHvnRPincNqKzeDQD9ip8t_814pU5XOrW_T5D5NB0QqogerPnpVGTSSBTucqxY0FJXGjrSvgzfh5pvP8kr7VMSESqOOSAq-sBiosZ_mKUwBx04ga43GEkrp4FCBCLb-9fDwRL-0haLx0IMuCG4GjJrEXjtuCfVtquYpHrPsCnn4QUye5CI0s36by1DkqUy_v5AjC-MJ3pPUaJR1hgA,"Cybersecurity Engineers (ISSOs, ISSEs, SCAs, Cyber engineers/analysts)",TestPros,"Portsmouth, VA, USA",12/4/2023
https://www.ziprecruiter.com/ek/l/AAJ8EBAInHdH32wAGR-KB8K2exWcPiymENF8zBtvZaBpu3NErmgk_zhqQh0h2wgIAKzRz1BWfMXQb1ySI6D8BOLnooO4zVIy5o2VdyqvMhrDnoniQiS8K7wLSkB7sAxkdYg4baQOGX8sbg_mPNin9ijT7C1JCu38IYvjLI5kmA629UTEomNO3ToplpA36AsiChMB_X2BqNEYClCIf1w-IThRjhTTkRKAit7fCg,Program Management Support,"Modern Technology Solutions, Inc.","Virginia Beach, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKz75vJXU9ZrGdRFcB53tDi3asCqFaRCs3_EJG7r2zpyj8ofdlttrx9jyT_EYWmaBAMfzc0R5Gfq8fNAyQf1rPd5Ka3n452aw5dkYe6HZYmidu4E9UNmvtHUbcre_Wx7uU50MS39NGN-IAnqMB-DfiaTjrD8K56-q1RBukY4YaD4DN5lpFzrK1yPH49CHiPZw7brN-hacRrkOyICKfSFw,Cyber Systems Engineering Server Support,Peraton,"Virginia Beach, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIXudiWjqlWku5veYuVY4cPBaGo9zgzyO7-oBJMZkprSVwLQGcFXVf30W2V6ZvZZn9FA1Ur0Jer9W2wlXGRzitaXdHYcZojaCRKMtM2DMbUvN85YQJjtY5zKqnWFfju5u3XTYEB-rm96SR0R4Eg-oWne89AQkfopswUpccBeWuCptTQTGXGwM1yQSYge8nvwFLEmjuAoPNEyu41Eoh-Xk4,INFORMATION SYSTEM SECURITY ENGINEER,VSolvit,"Chesapeake, VA, USA",12/4/2023
https://www.indeed.com/viewjob?jk=e8ce6291a0db139c,Network Security Engineer,"Imagine One Technology & Management, Ltd.","Virginia Beach, VA, USA",11/20/2023
https://www.indeed.com/viewjob?jk=ee855740fbd55a99,IT Security Specialist,CACI,"Norfolk, VA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=de8df4e32c32ff75,Network Security Engineer,"Imagine One Technology & Management, Ltd.","Virginia Beach, VA, USA",11/12/2023
https://www.indeed.com/viewjob?jk=d87356a9fc868367,System Engineer,Peraton,"Virginia Beach, VA, USA",12/1/2023
https://www.indeed.com/viewjob?jk=a4d7cf145a7ddc5a,Network Engineer,La Jolla Logic,"Virginia Beach, VA, USA",12/1/2023
https://www.indeed.com/viewjob?jk=02f983b9a990a6bb,Software Architect,Sentara Healthcare,"Virginia Beach, VA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=855a964fae1cb6c8,Engineer,Risk Mitigation Consulting,"Norfolk, VA, USA",11/29/2023
https://www.indeed.com/viewjob?jk=140571ed808c189f,Security Engineer,Dollar Tree,"Chesapeake, VA, USA",11/28/2023
