job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/payroll-data-analyst-washington-metropolitan-area-transit-authority-JV_KO0,20_KE21,67.htm?jl=1009012793882",Payroll Data Analyst,Washington Metropolitan Area Transit Authority,,
"https://www.glassdoor.com/job-listing/senior-medical-economics-analyst-longevity-health-plan-JV_KO0,32_KE33,54.htm?jl=1008871892702",Senior Medical Economics Analyst,Longevity Health Plan,United States,9/15/2023
"https://www.glassdoor.com/job-listing/premium-reporting-analyst-elevance-health-JV_IC1130306_KO0,25_KE26,41.htm?jl=1009012838313",Premium Reporting Analyst,Elevance Health,"Norfolk, VA",
"https://www.glassdoor.com/job-listing/financial-data-analyst-robert-half-JV_IC1130306_KO0,22_KE23,34.htm?jl=1009002621088",Financial & Data Analyst,Robert Half,"Norfolk, VA",11/29/2023
"https://www.glassdoor.com/job-listing/invoice-processing-analyst-widepoint-corporation-JV_IC1130294_KO0,26_KE27,48.htm?jl=1009008774603",Invoice Processing Analyst,WidePoint Corporation,"Hampton, VA",12/1/2023
"https://www.glassdoor.com/job-listing/performance-management-data-analyst-cmacgm-JV_IC1130306_KO0,35_KE36,42.htm?jl=1008967534794",Performance Management Data Analyst,CMACGM,"Norfolk, VA",11/7/2023
"https://www.glassdoor.com/job-listing/senior-healthcare-data-analyst-sentara-healthcare-JV_IC1130324_KO0,30_KE31,49.htm?jl=1008993108941",Senior Healthcare Data Analyst,Sentara Healthcare,"Virginia Beach, VA",11/22/2023
"https://www.glassdoor.com/job-listing/supply-chain-data-analyst-dollar-tree-JV_IC1130279_KO0,25_KE26,37.htm?jl=1009003509011",Supply Chain Data Analyst,Dollar Tree,"Chesapeake, VA",11/29/2023
"https://www.glassdoor.com/job-listing/management-data-analyst-trident-technologies-and-consulting-global-llc-t2c-global-JV_IC1130324_KO0,23_KE24,81.htm?jl=1008762673515",Management / Data Analyst*,"Trident Technologies and Consulting - Global, LLC (T2C- Global)","Virginia Beach, VA",7/17/2023
"https://www.glassdoor.com/job-listing/it-functional-analyst-falconwood-inc-JV_IC1130306_KO0,21_KE22,36.htm?jl=1009009990635",IT Functional Analyst,"Falconwood, Inc.","Norfolk, VA",12/2/2023
https://www.ziprecruiter.com/k/l/AAJ9ap6QsVI2KEF225WGCdrh6lt-3KkZokWLeogaCdM-JLHP3ef-M5JVSO24UF06_HEKzQIsOQ2tLaNgh4YRuz6AtOEY9QQk0ZFtJfg6IE-FZgKCLUHLme_vhWfWicR_6v5Xz_c52RzIdb-ESRXKpiyoOMBwxcWxZwYbXhKx6i44BAqvsfbyu8SsFdMiCetZHHmfmY6pnOgpTDPKgQ9MjmosIflH8zBCFwuS,Intermediate Data Analyst,Phoenix Group of Virginia,"Chesapeake, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIopUxfiOFsU-n9SeLVvn6UOKJG_Lis_8wEujxiV6nftVq86K5mR6c_Eq9cDdKw9gJA0WEDisV7CBc3wpxr08cHBFW6Ci4RMWyEBf3_7eGb1i3BkyeOWscdMoSBbzKIqcDa9uY72Kl5vhlgFlT4fE4htrmLczPqYR9rosspjMxA5L9hTY546zHuRK83szpr2ETFPx0N64gqFQ8_cH4Eq03GtiaiK28jqGF8mw,Business Analyst,"Capital Strategies, LLC","Norfolk, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKr766FbxtkwtB-Ohj0MQPVyfmEnbzO2S9-g6KpsakiKYx3GHy0J-tp8ghtguL6xKCAUdRf8hiOTLCIKANWsDRwiT6o7k04UHZeGmGLXQ3i39lvPmKw3AsAuZCJdKdi3d_GQFCtSFfYQnXAhQ0R3ziClPjY1D2Yg0HPe3FhggJR1Ec9Z9aAvlG1HLO9lOXbBEoxgVzJct2SkGl37bgd1w,Data Analyst,Quick Services,"Virginia Beach, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AALjnE-uott8vEIayn04y2ZA7DauwebtZjuxjCT9KX0GBTsUlWT6KvOWr2L_8Tyn1uoRH7oHwtpJvsWgL0Uol952EssTYDRpkKZklDJqiOMYYtcVWxviDXbaK1yTVIX44VEKiX5xDfeNaVmCfhcmx4qpE4ix3x1uyYGNRYhux7ZsbFyM6JUZOdifW1dbKf-FVyPqlC2qp2QT_uT7Gn6RRA,Data Analyst,Indigo IT,"Virginia Beach, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AALaFwqAiSRuW3JiPWZ3Elt1QuyRNk3gSECHtJnVkMcJ4WRP_pfzZD7DB2eoZnS-CSmoDS2J2mS3EKESE9Sy3yKelv4WP70fXn1dae_g2YFT16mKd9UQYSry0G2UbJNEMRHKrr121aNjT0EvKMKs4_NAPX4Tzycc59oEMHqwYMetZhE5aQ-pvP-NE5uabYhpSWmKZEsQdpe0AssjA4uyyg,Data Analyst,Elder Research Inc,"Virginia Beach, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJz-CJS0EJODnv988xuSTehwRA3MVh5VJnfJgCsKjt3ojUK4gBokzZ2bv4SGXmxiaGOpU8BuECzu3r2h-uafYAAHviQMNHm_Vnvx5MqaSTzFiPVqMcY0m35qp1OXyQz9rsZqfLESOA3Lp5qVdHD2FyYe8D_X0_vOTV8oF3ZO2BH3ttF-cjPttCZBbvV3XZImAgE2hzrbZAxTA2W7QlDYfk,Metrics and Data Analyst,"Prevailance, Inc.","Norfolk, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAI5uIztHXKjnyR4Hv0zk8l3teNpgbm2x46aV7a1O2mc5caV5uNU32p1OqSmpEBs50cbI7Ccb87Q1sjlo0n30OfvUNCGHA0h4WTB_PQ2e0Uu6hZjq7r08hrslUp09INZtXlu6_SzPGHX0DG3bqq8hEvlwaanuEDPaTtzW5k4X9GBjB3Z2xsYAyeDh_KnwVu_MT634bGjQMvhNpwpU-eiQVw,Transfer Data Analyst III,LoanCare,"Virginia Beach, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAI1Wjl-d4lLR8SlRAm66VeqV9AUjSp5IFG2-JyH8dwm4eg6sxfH-mx77gDq0vKcZshUv6mMb_HBGD340Rjhpr2X478nbq9AcOXMwqWbKD_yjmmv496ZIiePnpJkTePEnWZ1mqlu2UOtXK_p_mm3dg7oW4GwxoGJbyMicxJzI7Y_xUX304ImRQA5PIp6VFbmzDnYztD4sMxWs2Xcpp0kaw,Supply Chain Data Analyst,Dollar Tree,"Chesapeake, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJ0HfcNyUbDR1IfEBDvRb_ig1LFvPlBNNchU5aGPBBlZTTqL7jKxRbGfunQqgHevtVihkOTKn0qXKwZCtP47QQ15PDS2aFox7ZlORczsL6UX9T09vFiqyqR-Bto5JwvJ8ACystbTiWPnLx0mTCAdMw6hEMPJECJYmW_SJS_A9CECJBEz9z16SV1KJfrUsesalD2TDsLiW7RmM-HbWKTUos,Business Analyst,A. Reddix & Associates,"Norfolk, VA, USA",12/4/2023
