job_url,title,company,location,date_posted
https://www.indeed.com/viewjob?jk=7e5c74d35c662989,Video Game Designer,"Kadiak, LLC","Fort Eustis, VA, USA",9/18/2023
https://www.indeed.com/viewjob?jk=9869d78e15c3a793,Multimedia Specialist,"Kadiak, LLC","Fort Eustis, VA, USA",9/18/2023
https://www.indeed.com/viewjob?jk=2727022267a98c8b,Software Engineer,SimIS Inc.,"Portsmouth, VA, USA",7/18/2022
https://www.ziprecruiter.com/k/l/AALyYPzQU1R7NZ6ZNuu7C26XAwisbUUhKQ31n5o2_Ex1eZEQso_R7tA1z9-dtTccW9quvno6WqN6pZ91iZD7vBt_WjM4FXfxKXzTBCiI8NPNSvXQ4fbO9p52WfaZQjhk8_y4uOF9RLf8Tfsj0JqRviWvwFhhNUt_mrhqDY_XEqr28SzyTdDVkBMIHoq5Gspb0IAVslx0Q3mkPUGaxDOJ6hOkacjVnUAJlYjX,Software Developer (Mid-Level),MI Technical Solutions,"Chesapeake, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAL-eZDpecQTOO60kjwrEEQ5bQdRUyAy69qcyoKUXfoILOu7ktbrK6LjIBv2fmEfAeQYPrbxeSe-L_UZY1pCX6tCaChrNQ-BcUFis7-2tDh-z0V5qPg48aDV38CuJsmm2O_jTGU_0WUelT6r2_YqyR3NzJjH2bHNiMmofU4BLM7J5oiJ2DTkMZNobDfewyI475lFvIR2cH4u-uMyhPCm1Q,Lecturer in Game Development & Game Programming (Non-Tenure Track),Virginia Jobs,"Norfolk, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAL2a9VIU4Yq7wLqILX52NLE-K2bwb57BgQ-_5SzzYqKK6wWq29r3s-5n0ONbmYNqP8V2mZHeEP85oKfn4dMk_oL4THPvosXMXYch1Bi6SviUSLhFiOHXglIAyco3NhxSrzLRUDkrxHVtcz2XcQCSi3WBZ3A9fYA7tv5pS8Rqg51NTJTRzHEIgJyIfvtgSbevlIDkW0GpShiUw2XHbqlJrqHH2En9tJBuStr,Software Engineer,"TechComp, Inc","Chesapeake, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJlhEFJ0Y3Ux586XpwYLR092BTmXVrVlCoEXGae8OYGcpxwdL_kvcieuXyMOVM3t9XXUObzuIl1L_WgbqruitXRvaAlH4Xe6yZU35c4hRBCNz7tSpm8H-viCIkoFEaYFh_cHNZiW9pewqGbMbgHPqs_9orxamhz4klSoiYSt1kR4z5uQduAOJD42LC4hgMaCr6RtlPOigHwMi5ttKE7Nw,--SW Engineer 1 (KA),SimIS Inc.,"Portsmouth, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AALrUdeDkvqsk7bq2OCJtUykp6nPFS1NNzMicq7XNaYWHE2MmkWZluhoQUdFy7SJrmcxt3g3ALu9fugsUiaYJgOnnIiElBj_kOlLJcuUdQbf0tt_kPXIwkO8MyzowU7X6Ty_moKsbJg9V8HJm4whIzU7QoGLv6DicHDhFgPKrCMg0gS13g2-3dmmhNn0uABjJkTVZ-mJQRO_jFh3XqWiTVE,SOFTWARE ENGINEER/DEVELOPER II,VSolvit,"Chesapeake, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKE-ik2bf3U16bh6yxAgecdYMMnsnB7qIJdjp3xL_zQCsksOVzJZ9aL1Bz9XlYTyZoFoDdDDtoQrSt2zKCqj1KKs39GM9glq-_s0FLz7xj2R69lm2Dq3x8HI0WF6crFV3736Z2xd5dpMnstOfk5Hx5jPTE-H0umxM3ie5CFFWZaxaRvQ2McLUf4cOJOrWq5NbG64XNb3Xyzce-SmM9IF4w,Software Engineer,EMG Acquisitions,"Virginia Beach, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKJNNpeusdzu2vNkVMbC-x_7gqogxGvFEKUIRi6-c5zQpsmRZlG3cfFyGfgMNE1kns43nbQFlCL8rFVjNlILIY3Q4f3XaBfjfGiU-QahzTJMip66RYR9de2cbMc1oBPEkTFXCjemX3NCVkdB9Ys8myW22k7QTUwtjaxMSkJhIRMMnkyk6KUvMnR_-HSi8O8elyBA3r0a7IvEe7qOaEOQ8rm7dVQiaxFpAir,Software Engineer,Emprise Corporation,"Chesapeake, VA, USA",12/4/2023
