job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/cloud-engineer-willcox-savage-pc-JV_IC1130306_KO0,14_KE15,32.htm?jl=1008514880142",Cloud Engineer,"Willcox & Savage, P.C.","Norfolk, VA",3/7/2023
"https://www.glassdoor.com/job-listing/collaborative-integrated-design-system-cids-software-engineer-mantech-international-corporation-JV_IC1130324_KO0,61_KE62,95.htm?jl=1009004919121",Collaborative Integrated Design System (CIDS) Software Engineer,ManTech International Corporation,"Virginia Beach, VA",11/30/2023
"https://www.glassdoor.com/job-listing/dot-net-developer-grn-moon-valley-JV_IC1130306_KO0,17_KE18,33.htm?jl=1008979867251",Dot Net Developer,GRN Moon Valley,"Norfolk, VA",11/14/2023
"https://www.glassdoor.com/job-listing/javascript-programmer-for-video-surveillance-system-ipconfigure-JV_IC1130306_KO0,51_KE52,63.htm?jl=1008831726041",JavaScript Programmer for Video Surveillance System,IPConfigure,"Norfolk, VA",8/24/2023
"https://www.glassdoor.com/job-listing/automation-engineer-tecma-aries-america-JV_KO0,19_KE20,39.htm?jl=1008813444920",Automation Engineer,Tecma Aries America,United States,8/14/2023
"https://www.glassdoor.com/job-listing/sr-web-developer-battelle-JV_IC1130313_KO0,16_KE17,25.htm?jl=1008904837851",Sr. Web Developer,Battelle,"Portsmouth, VA",10/3/2023
"https://www.glassdoor.com/job-listing/it-specialist-programmer-battelle-JV_IC1130313_KO0,24_KE25,33.htm?jl=1008972190129",IT Specialist (Programmer),Battelle,"Portsmouth, VA",11/10/2023
"https://www.glassdoor.com/job-listing/software-developer-general-dynamics-information-technology-JV_KO0,18_KE19,58.htm?jl=1008929273817",Software Developer,General Dynamics Information Technology,,10/16/2023
"https://www.glassdoor.com/job-listing/mid-sw-developer-cgi-group-inc-JV_KO0,16_KE17,30.htm?jl=1008554885620",Mid SW Developer,"CGI Group, Inc.",,3/29/2023
"https://www.glassdoor.com/job-listing/software-development-manager-peraton-JV_KO0,28_KE29,36.htm?jl=1008912894795",Software Development Manager,Peraton,United States,10/6/2023
"https://www.glassdoor.com/job-listing/sr-power-platform-developer-cgi-group-inc-JV_KO0,27_KE28,41.htm?jl=1008649864704",Sr. Power Platform Developer,"CGI Group, Inc.",,5/16/2023
"https://www.glassdoor.com/job-listing/aws-python-developer-remote-cgi-group-inc-JV_KO0,27_KE28,41.htm?jl=1008972187935",AWS Python Developer (REMOTE),"CGI Group, Inc.",,11/10/2023
"https://www.glassdoor.com/job-listing/senior-sw-developer-cgi-group-inc-JV_KO0,19_KE20,33.htm?jl=1008554885573",Senior SW Developer,"CGI Group, Inc.",,3/29/2023
"https://www.glassdoor.com/job-listing/senior-software-developer-boeing-intelligence-analytics-JV_KO0,25_KE26,55.htm?jl=1008834251482",Senior Software Developer,Boeing Intelligence & Analytics,United States,8/25/2023
"https://www.glassdoor.com/job-listing/servicenow-software-developer-mid-senior-peraton-JV_KO0,40_KE41,48.htm?jl=1008949878495",ServiceNow Software Developer / Mid-Senior,Peraton,,10/28/2023
https://www.ziprecruiter.com/k/l/AAIFo88JyvUlgnQ95pChZWy_V9jOxn_JHKtVURIl0GZ0wBL_6TfyXzSOEkyhr_3N2Tiq-9HTAb0q1FruBgdz8CkIWNQ7heoOsp68hP1LGxZwEYYjbcIUB5oJg9R90P1s7Zlx-4qBM5nWaHXCm4uUHwVd3OeRvdiHo1_aCr2trCIji9eELQh96QCtZZpOrb0PeAi7WYuBzm4e4as9buQrDoSYiTYrfOd5frF7,Software Engineer,"TechComp, Inc","Chesapeake, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJN38oOKw4RfK6ya56fdu5Umyz3YgFk4CUQjdKLDMW7KMW4oxfzSB0mAJcDjLpy6jGcAFrNl7HwKrDKGZEdv8J5a5BUJjbtvJGnCApvDIhCa4Leg-a-uudbdQ-mwRUXoMPDX-UjkU4p5jBYHKDimGvtZNdWJoA9zc_5KQl0TRhXUYYGh-s-udObpl4Ky3s6x5xDBuJYUp-Clr1AZAr4j51EWd7pWTDh5vqI,Software Developer (Mid-Level),MI Technical Solutions,"Chesapeake, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIcFqRUOivTeEiB7xXfknbwdA7LDUfMAxyXatD2OUmTLSpRlFmQxwvmczDDOShZWOOBSKeg8dyHIaKGWfI4Ba0Pm6mKhtoS4IwA8fOzQDmkZkYaqHgopIqFxtHthviKvxe4HjHIVisrsFcK8L9Ghrz69SVL8Zs8dIfbbqxmY5OeawJE9fXDLInkeT1qk5hc3hci2fAvlkdFPAarDqeK7w,SOFTWARE ENGINEER/DEVELOPER II,VSolvit,"Chesapeake, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJBiqOCCc4Q7wii1IWD8X5k0QncahSmNBt4pCSKQniCvD3Ez95Ro8p3SQJ3_W7Jv8DR712FykCMqkx9qU6XLxk7kEaE276CSt3PvHORsum0IgMx6DN-wJ8iIxIa4XMeRmw48YzSI5-L7v4AGjJKbhx-sGJdo_B6qLLDtXy4Rm95LmKMO1_UQxrjf0s2pvS5JdRFQ5zse6v3jTInsJwl-qQ,SENIOR .NET SOFTWARE ENGINEER,VSolvit,"Norfolk, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJyGTk2FVNT4c-Br3h39OCFuDO-9-_nXjZJq5qJBQp3Icr3BJMhA323Pt5xztlFgUdQEaI8N87qMpvuK_z6OEBiZqOzKL_OsfcxyPHjQpFlywVLY7_bQR62PaxlA6pvx4vf8W9smG75e-MF7PbzAcssLtspK63_T6r6_sYPCzFOviq-lRaCHTcQzDE7xOw30vA7R-5ovlRRetRh174YVWbKwoflXCzR9E3F,Software Engineer,Emprise Corporation,"Chesapeake, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKuW85yhRzNDswxvxNGeTeHCQ0bGS0GlF-kBJ4YIPPWDA9I54xxF--dBQ0wdc8fyaSasQKa9WQ0uICYyCTJB8_MRcIn0rzsTqYenOQkaCNzltxARwQTvVosPreXp8lnk125pwd1HnKuid8RlQgKY3r5_Q6BzS4fWpjUPOUeVKNN7gc9mVtOyN5fWbePjwpqlrPPITEv9Lc3DarTNHrNjyO5KhGv6qCjKGN-hg,PE Sr. Electrical Engineer/Project Manager,"Electronic Systems, Inc. - A Xerox Company","Virginia Beach, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIsfX3yM4xavoy0jxsCaAjk44BC_xUGK9ad4kKXtTvsQJF4Cwr8J0i9ck0_8XF8ZezALr9Qn3rqV6cKLEJEVSPJYTGLuLlAn3EpWv0C9X7YvPsp--VGFgz5SYOdJoMnAqHwxvoOTHo-F8dg9C3dor9AOiiLGIchwI1Zkf4srSYq42xvzVaNBWm_-h6H6BQGLDYCoEL_rpLwbMUWJRpPCs4,--SW Engineer 1 (KA),SimIS Inc.,"Portsmouth, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAL_3Xr4HfiXdi8ciaDZVUa_EpXZJwaYPDJxDmjGGDk5_iMDBVf8bxWsIQELN7sMwzs02SJK1fvItDOHTW3Xf1ZH0d2CCm4EtdqX8075iGRIqlkNcV4CWNptYH_KJe8DjDndGW-FA4fmoyWhvnQnw5tMLhNa-PRYDyUF9g5qedchPF0ao-GN9uxff7i1O1ji0dGYzvIJ-CpaV2jbiqIGOd6kTBjUyxIKV_JaEw,Azure Infrastructure and DevOps Engineer,AustinPPS,"Norfolk, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AALxz_7zljAMHon23KEAq5D62HEJJV_9luY4SfHPxvUQ0gHdvt12bBXgA-EdcyoZWWR9HMEThsP-szDW2SoI9-SbZP4r4ZgtNkCKk3pNMghXlZuNktizMdvgQmAvbxt502KI5AfwiqrTZzgsx2jC7zmGsqqAsOoPOOAN6NF1teGSEpho7x0_xQE31RpSV6CJTdTdFca3kGkTYs2yeNdqAdbV0MvqhGHANRJzLg,"Audio Visual VTC Engineer - Virginia Beach, Va",iSoft Solutions,"Virginia Beach, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKoPiOrWSswN7OJltrK1zht4Cw0WSihBcyXifXPXndr55Ta3M5mc7cREUhQzy7pu9YGuPd1skgXycfwdTMvRAzTN39WTkkq95g40geZeZ7uRaHWo0Nqm7aFK4WUZAj1yXVSlv8urthZSkoKMQrFDuMRM5oOEpFgpc2NhvnxwqqXGzLGiWGhu8YDO_EOlvVMddIV7LPAi8UWIPyutZL_PzpsmmVHbhNYG_CsiQ,Network Security Engineer,Imagine One Technology & Management,"Norfolk, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIvM9wLdnx7BA3VrbRUKzPvOcynler0z__pDONNDg78wNRO8V3bVQXdSnPzX9xohwMvlaXsPzH6blbuocYLLsjzkqQ_7QLyIEoIV8CLGgBBt3sT51DVZFTRLAa4QymjqQHwj4FpcBJbgV3HuZi72Pg1eTFbTvzTZlzKEI8jqmC70Yv88cgrDGFTylWOxpOUf-SU5pU_MvC9Cz56e650Nw,Software Engineer / Developer,DT Professional Services,"Chesapeake, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJ1o0VB3uaBle5XQYYACZ_WD_xNVibfAl6F9tsUdC2bJl5a7vEWPZkw1sbNev4K67hbPV_1Yo5PQZiKJgXmxKpvqet8fPEFaFAFzBSV7YMP-lJ28ZPhVcotnCfY__M8K2B2cgjTxa7f-iMstJsn5EiQ_7Er5QDimd4N1nMGFo6BU-_QjuAcEE8L8ePMIynwWwnuMPDAFpf665JRKNKHV-M,Software Engineer (AI/ML),"G2 Ops, Inc.","Virginia Beach, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJzQ5CVCLlxqWy4qTOfqlbNYdCIrFUhkYLkvnFaah6tJJ-PNxUnCgWX8lk56x-z5TeTcNknBgrvB2w5CEDSJ8botBaiY5vX918Gy68cM4rN-F0864XHl5V60f6QjYZ9zEH4h0xaxvLa9tLu1x4igfUgpN8PkBkPtYzyVixpjXYd9jwkUl8EhaOklGNjYGOuev5eRdMjd-SyogGdSprv9aCPO8Tv7xV_ZQihvw,Civil Engineer,Elizabeth River Crossings,"Chesapeake, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJ4tgFBx6iUIOrisfKy6g2zUzNGVG_lR4P2ts1AO9vYXZXSrcgit2dJLoTo56J3bPoilOeFCfa2g3IPofjNylqn67Y7QymflOSvmAD31LbURgAqYsaTRMA__KMIfKxPBDYOOmIlLYnsEm3AB7y-ZwzwnNJzRcwqkVf7wVIZJQTxH9FoEEzOF_uNWGLF21XBrRV2_h0Om_BaSKR6NYIByURAKNIbIpPG9ySJ8g,Network Systems Engineer,MERIT Solutions,"Chesapeake, VA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJjGPr2hvbDh8t8jiaEo2oq98kTlDilPUh2OJfNGGrxsP7VX5-SgiYaTRAGLiZgtwQJvOuX5b8cHT893J9FZrOZb-QW5zbv3tNTU18CavvaT8Jq4Wbf6Oar9v-Obgc8QULpg47EupGpMFHr6KulKwvaEeR2tgq2dx9Tbf0oVH-wIqvVNrz1z7to1sVM60yoO2DvM3TV52IxIOZ3eifT1XAVrnFkyXLIk5vcKAQ,Systems Administrator,Premier Group Recruitment,"Norfolk, VA, USA",12/4/2023
https://www.indeed.com/viewjob?jk=2d3c4f3e0ac5f397,System Engineer,Dominion Energy,"Surry, VA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=06f98b681681dc76,Database Analyst,Strategic Operational Solutions,"Norfolk, VA, USA",12/2/2023
https://www.indeed.com/viewjob?jk=0c0bf570f7f793ba,Web Developer,Strategic Operational Solutions,"Norfolk, VA, USA",12/2/2023
https://www.indeed.com/viewjob?jk=e0464071c616e7eb,Web Developer,Strategic Operational Solutions,"Norfolk, VA, USA",12/2/2023
https://www.indeed.com/viewjob?jk=773dcc6c2b0c5cad,Product Owner,Emergent Software,"Virginia Beach, VA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=b27b248a832c1501,Database Developer,Grand Furniture,"Virginia Beach, VA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=e67a83a224a80620,Software Engineer C#,Emergent Software,"Virginia Beach, VA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=8a1a919a38927f2c,Software Engineer C#,Emergent Software,"Virginia Beach, VA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=3c08f2e2aa451489,Senior Software Architect,Emergent Software,"Virginia Beach, VA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=fa47e2a50cb0a46a,Software Engineer,Nexagen Networks Inc,"Suffolk, VA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=5f8810766056b59e,Java Developer,Cognizant Technology Solutions,"Norfolk, VA, USA",11/30/2023
https://www.indeed.com/viewjob?jk=aa36633861d715b3,Data Warehouse Engineer,Vectrona,"Virginia Beach, VA, USA",11/29/2023
https://www.indeed.com/viewjob?jk=4585671bbbfd82b1,Computer Engineer,DEPARTMENT OF THE NAVY - Naval Facilities Engineering Command Mid-Atlantic,"Norfolk, VA, USA",11/28/2023
https://www.indeed.com/viewjob?jk=4129efc0c3621d7f,Security Specialist,Aremco Field Services,"Virginia Beach, VA, USA",11/28/2023
https://www.indeed.com/viewjob?jk=861c5529eead69ba,Junior Software Engineer,Novul Solutions,"North Virginia Beach, VA, USA",11/27/2023
