job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/senior-network-engineer-gc-associates-usa-JV_IC1130324_KO0,23_KE24,41.htm?jl=1008991428559",Senior Network Engineer,GC Associates USA,"Virginia Beach, VA",11/21/2023
"https://www.glassdoor.com/job-listing/collaborative-integrated-design-system-cids-software-engineer-mantech-international-corporation-JV_IC1130324_KO0,61_KE62,95.htm?jl=1009004919121",Collaborative Integrated Design System (CIDS) Software Engineer,ManTech International Corporation,"Virginia Beach, VA",11/30/2023
"https://www.glassdoor.com/job-listing/senior-unified-communications-engineer-avaya-exp-req-optivor-technologies-llc-JV_KO0,52_KE53,77.htm?jl=1007867206230",Senior Unified Communications Engineer (Avaya exp req.),"Optivor Technologies, LLC",United States,5/16/2022
"https://www.glassdoor.com/job-listing/systems-engineer-auxiliary-air-and-fluids-mantech-international-corporation-JV_IC1130313_KO0,41_KE42,75.htm?jl=1009003877420","Systems Engineer Auxiliary, Air and Fluids",ManTech International Corporation,"Portsmouth, VA",11/29/2023
"https://www.glassdoor.com/job-listing/javascript-programmer-for-video-surveillance-system-ipconfigure-JV_IC1130306_KO0,51_KE52,63.htm?jl=1008831726041",JavaScript Programmer for Video Surveillance System,IPConfigure,"Norfolk, VA",8/24/2023
"https://www.glassdoor.com/job-listing/cyber-systems-engineering-server-support-peraton-JV_IC1130324_KO0,40_KE41,48.htm?jl=1009010310061",Cyber Systems Engineering Server Support,Peraton,"Virginia Beach, VA",12/2/2023
"https://www.glassdoor.com/job-listing/information-security-systems-engineer-innovasystems-JV_IC1130306_KO0,37_KE38,51.htm?jl=1008825417615",Information Security Systems Engineer,InnovaSystems,"Norfolk, VA",8/21/2023
"https://www.glassdoor.com/job-listing/wi-fi-and-networking-engineer-ii-telecommunications-technical-services-JV_KO0,32_KE33,70.htm?jl=1008904739071",Wi-Fi and Networking Engineer II,Telecommunications Technical Services,United States,10/3/2023
"https://www.glassdoor.com/job-listing/data-center-it-systems-architect-adnet-systems-inc-JV_IC1130294_KO0,32_KE33,50.htm?jl=1008944814834",Data Center IT Systems Architect,"ADNET Systems, Inc.","Hampton, VA",10/25/2023
"https://www.glassdoor.com/job-listing/systems-engineer-iii-city-of-virginia-beach-JV_IC1130324_KO0,20_KE21,43.htm?jl=1009003509806",Systems Engineer III,City of Virginia Beach,"Virginia Beach, VA",11/29/2023
"https://www.glassdoor.com/job-listing/systems-engineer-i-city-of-virginia-beach-JV_IC1130324_KO0,18_KE19,41.htm?jl=1008935583447",Systems Engineer I,City of Virginia Beach,"Virginia Beach, VA",10/19/2023
"https://www.glassdoor.com/job-listing/network-security-engineer-peraton-JV_IC1130324_KO0,25_KE26,33.htm?jl=1008912894880",Network Security Engineer,Peraton,"Virginia Beach, VA",10/6/2023
"https://www.glassdoor.com/job-listing/senior-system-integration-engineer-c4isr-and-c5isr-horizon-global-partners-llc-JV_KO0,50_KE51,78.htm?jl=1008656311447",Senior System Integration Engineer C4iSR and C5iSR,Horizon Global Partners LLC,United States,5/19/2023
"https://www.glassdoor.com/job-listing/architect-ii-michael-baker-international-JV_IC1130324_KO0,12_KE13,40.htm?jl=1008999680005",Architect II,Michael Baker International,"Virginia Beach, VA",11/27/2023
"https://www.glassdoor.com/job-listing/field-operations-network-specialist-leidos-JV_IC1130324_KO0,35_KE36,42.htm?jl=1008895307180",Field Operations Network Specialist,Leidos,"Virginia Beach, VA",9/28/2023
https://www.indeed.com/viewjob?jk=e8ce6291a0db139c,Network Security Engineer,"Imagine One Technology & Management, Ltd.","Virginia Beach, VA, USA",11/20/2023
https://www.indeed.com/viewjob?jk=439037cefd4355ac,System Engineer,"ADVANTEDGE TECHNOLOGY, INC.","Virginia Beach, VA, USA",10/31/2023
https://www.indeed.com/viewjob?jk=d87356a9fc868367,System Engineer,Peraton,"Virginia Beach, VA, USA",12/1/2023
https://www.indeed.com/viewjob?jk=a4d7cf145a7ddc5a,Network Engineer,La Jolla Logic,"Virginia Beach, VA, USA",12/1/2023
https://www.indeed.com/viewjob?jk=80be92ccb1dd18d0,Electrical Engineer,"Electrical Consultants, Inc.","Chesapeake, VA, USA",12/1/2023
https://www.indeed.com/viewjob?jk=ce48894dba4f3738,Operations Engineer,H2 Performance Consulting,"Norfolk, VA, USA",11/29/2023
https://www.indeed.com/viewjob?jk=6f5b8814f42f2816,Senior Reliability Engineer,"Summit Technologies & Solutions, Inc.","Hampton, VA, USA",11/29/2023
https://www.indeed.com/viewjob?jk=12a22a28512b9526,Senior System Engineer,City of Virginia Beach,"Virginia Beach, VA, USA",11/28/2023
https://www.indeed.com/viewjob?jk=92af08a7bc5a7227,Electronics Engineer,HII,"Virginia Beach, VA, USA",11/27/2023
https://www.indeed.com/viewjob?jk=9d067ac7c6ac471d,Energy Engineer,"Sierra Lobo, Inc.","Hampton, VA, USA",11/28/2023
https://www.indeed.com/viewjob?jk=27ca344a0e7b315a,System Engineer,"Three Saints Bay, LLC","Virginia Beach, VA, USA",11/28/2023
https://www.indeed.com/viewjob?jk=de54046ade8321e4,System Engineer,Xylem Tree Experts,"Norfolk, VA, USA",11/27/2023
https://www.indeed.com/viewjob?jk=9cb4cf650abb7422,Electronics Engineer,HII,"Virginia Beach, VA, USA",11/27/2023
https://www.indeed.com/viewjob?jk=88fbd522be863f9f,Senior Network Engineer,Cox Communications,"Virginia Beach, VA, USA",11/26/2023
https://www.indeed.com/viewjob?jk=9992438a66f4267c,Systems Administrator,Amentum,"Suffolk, VA, USA",11/27/2023
