job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/systems-engineer-security-focus-cerium-networks-inc-JV_IC1150505_KO0,31_KE32,51.htm?jl=1008871062180",Systems Engineer – Security Focus,Cerium Networks Inc,"Seattle, WA",9/15/2023
"https://www.glassdoor.com/job-listing/product-security-software-engineer-mid-level-or-experienced-boeing-JV_IC1150505_KO0,59_KE60,66.htm?jl=1008874606018",Product Security Software Engineer (Mid-Level or Experienced),BOEING,"Seattle, WA",9/18/2023
"https://www.glassdoor.com/job-listing/senior-engineer-cyber-security-florida-cancer-specialists-research-institute-JV_KO0,30_KE31,76.htm?jl=1008878448461",Senior Engineer Cyber Security,Florida Cancer Specialists & Research Institute,United States,9/20/2023
"https://www.glassdoor.com/job-listing/sitec-deployed-communications-engineer-peraton-JV_KO0,38_KE39,46.htm?jl=1008912894989",SITEC - Deployed Communications Engineer,Peraton,United States,10/6/2023
"https://www.glassdoor.com/job-listing/penetration-test-engineer-threat-exposure-costco-wholesale-JV_IC1150505_KO0,41_KE42,58.htm?jl=1009006223566",Penetration Test Engineer - Threat Exposure,Costco Wholesale,"Seattle, WA",11/30/2023
"https://www.glassdoor.com/job-listing/embedded-escalation-engineer-microsoft-defender-for-endpoint-microsoft-JV_IC1150499_KO0,60_KE61,70.htm?jl=1008986271207",Embedded Escalation Engineer-Microsoft Defender For Endpoint,Microsoft,"Redmond, WA",11/17/2023
"https://www.glassdoor.com/job-listing/application-security-engineer-i-healthcare-security-amazon-com-services-llc-JV_IC1150505_KO0,51_KE52,75.htm?jl=1009003885252","Application Security Engineer I, Healthcare Security",Amazon.com Services LLC,"Seattle, WA",11/29/2023
"https://www.glassdoor.com/job-listing/distinguished-engineer-artificial-intelligence-splunk-JV_IC1150505_KO0,46_KE47,53.htm?jl=1008992160994",Distinguished Engineer - Artificial Intelligence,Splunk,"Seattle, WA",11/21/2023
"https://www.glassdoor.com/job-listing/security-engineer-ii-ctj-poly-microsoft-JV_IC1150499_KO0,29_KE30,39.htm?jl=1008992232638",Security Engineer II -CTJ - Poly,Microsoft,"Redmond, WA",11/22/2023
"https://www.glassdoor.com/job-listing/principal-firmware-security-engineer-microsoft-JV_IC1150499_KO0,36_KE37,46.htm?jl=1008992232819",Principal Firmware Security Engineer,Microsoft,"Redmond, WA",11/22/2023
"https://www.glassdoor.com/job-listing/data-engineer-big-data-privacy-and-security-tiktok-JV_IC1150505_KO0,43_KE44,50.htm?jl=1008144216806","Data Engineer, Big Data Privacy and Security",TikTok,"Seattle, WA",9/16/2022
"https://www.glassdoor.com/job-listing/sr-engineer-cybersecurity-cirt-t-mobile-JV_IC1150442_KO0,30_KE31,39.htm?jl=1008913673014","Sr Engineer, Cybersecurity - CIRT",T-Mobile,"Bellevue, WA",10/7/2023
"https://www.glassdoor.com/job-listing/sr-application-security-engineer-hybrid-frisco-tx-or-seattle-wa-redfin-JV_IC1150505_KO0,63_KE64,70.htm?jl=1008925252808",Sr Application Security Engineer - Hybrid - Frisco TX or Seattle WA,Redfin,"Seattle, WA",10/13/2023
"https://www.glassdoor.com/job-listing/information-security-engineer-sr-starbucks-JV_IC1150505_KO0,32_KE33,42.htm?jl=1008972390615",information security engineer sr,Starbucks,"Seattle, WA",11/10/2023
"https://www.glassdoor.com/job-listing/application-security-engineer-ii-healthcare-security-amazon-com-services-llc-JV_IC1150505_KO0,52_KE53,76.htm?jl=1009003885211","Application Security Engineer II, Healthcare Security",Amazon.com Services LLC,"Seattle, WA",11/29/2023
