job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/board-certified-behavior-analyst-bcba-levine-household-aba-JV_IC1150472_KO0,37_KE38,58.htm?jl=1008982391474",Board Certified Behavior Analyst (BCBA),Levine household aba,"Kirkland, WA",11/16/2023
"https://www.glassdoor.com/job-listing/board-certified-behavior-analyst-bcba-connections-behavior-planning-and-intervention-JV_IC1150471_KO0,37_KE38,84.htm?jl=1008847574337",Board Certified Behavior Analyst (BCBA),Connections Behavior Planning and Intervention,"Kent, WA",9/1/2023
"https://www.glassdoor.com/job-listing/senior-medical-economics-analyst-longevity-health-plan-JV_KO0,32_KE33,54.htm?jl=1008871892702",Senior Medical Economics Analyst,Longevity Health Plan,United States,9/15/2023
"https://www.glassdoor.com/job-listing/data-analyst-motion-recruitment-JV_IC1150505_KO0,12_KE13,31.htm?jl=1009000180684",Data Analyst,Motion Recruitment,"Seattle, WA",11/27/2023
"https://www.glassdoor.com/job-listing/data-privacy-compliance-analyst-sinclair-broadcast-group-JV_IC1150505_KO0,31_KE32,56.htm?jl=1008991806313",Data Privacy Compliance Analyst,Sinclair Broadcast Group,"Seattle, WA",11/21/2023
"https://www.glassdoor.com/job-listing/advantage-functional-analyst-cgi-group-inc-JV_IC1150442_KO0,28_KE29,42.htm?jl=1008859078791",Advantage Functional Analyst,"CGI Group, Inc.","Bellevue, WA",9/8/2023
"https://www.glassdoor.com/job-listing/compensation-analyst-hybrid-inclusively-JV_IC1150505_KO0,27_KE28,39.htm?jl=1008969537799",Compensation Analyst (HYBRID),Inclusively,"Seattle, WA",11/8/2023
"https://www.glassdoor.com/job-listing/senior-data-governance-analyst-salesforce-JV_IC1150505_KO0,30_KE31,41.htm?jl=1009003771128",Senior Data Governance Analyst,Salesforce,"Seattle, WA",11/29/2023
"https://www.glassdoor.com/job-listing/senior-financial-analyst-technology-finance-hybrid-seattle-wa-nordstrom-inc-JV_IC1150505_KO0,61_KE62,75.htm?jl=1008991550387","Senior Financial Analyst, Technology Finance (Hybrid, Seattle, WA)",Nordstrom Inc,"Seattle, WA",11/21/2023
"https://www.glassdoor.com/job-listing/data-visualization-consulting-leader-cannondesign-JV_IC1150505_KO0,36_KE37,49.htm?jl=1009012841460",Data Visualization Consulting Leader,CannonDesign,"Seattle, WA",
"https://www.glassdoor.com/job-listing/senior-data-analyst-project-temporary-university-of-washington-JV_IC1150505_KO0,37_KE38,62.htm?jl=1008962837509",SENIOR DATA ANALYST (PROJECT/TEMPORARY),University of Washington,"Seattle, WA",11/4/2023
"https://www.glassdoor.com/job-listing/epidemiologist-ii-substance-use-health-services-analyst-king-county-JV_IC1150505_KO0,55_KE56,67.htm?jl=1008991810342",Epidemiologist II - Substance Use Health Services Analyst,King County,"Seattle, WA",11/21/2023
"https://www.glassdoor.com/job-listing/senior-data-analyst-university-of-washington-JV_IC1150505_KO0,19_KE20,44.htm?jl=1008968910632",SENIOR DATA ANALYST,University of Washington,"Seattle, WA",11/8/2023
"https://www.glassdoor.com/job-listing/workforce-analyst-worldwide-customer-service-capacity-planning-amazon-com-services-llc-JV_IC1150505_KO0,62_KE63,86.htm?jl=1009000186342","Workforce Analyst, Worldwide Customer Service Capacity Planning",Amazon.com Services LLC,"Seattle, WA",11/27/2023
"https://www.glassdoor.com/job-listing/sr-business-insights-analyst-ww-sustainability-amazon-com-services-llc-JV_IC1150505_KO0,46_KE47,70.htm?jl=1009011668276","Sr. Business Insights Analyst, WW Sustainability",Amazon.com Services LLC,"Seattle, WA",
https://www.ziprecruiter.com/ek/l/AAIEMUGMbKrSFZz0zjR6I0BkWJUnxVmIsk5bCcUMwRV1VoqP8OMVVx7JzVvTkxqguABrycJpBDPd2wzSRFNjx6DYFz01trfsvBi-5sPT0cpK0tFns10SCdQw6jDTAOBFtr1gElEXGejiAsHqI4skYouGg1ljp-FjaaM-ValalUZO5b5C-lrZ4JQnch-X1iujqp8jJ-E4ngP2WUvZ1BR2DdCqFl-iJaS6nDQV,"Sr Sales Compensation Analyst, Amazon Web Services","Amazon Web Services, Inc.","Seattle, WA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AALjssnmm_jqRh8EuBn5XZMzVxGqsyX50PDxkemWcLdDtmefSFItZiwdX6O2S-AK2EFQlSFdK9UjTWCCZuv2hcsCUpsgMXTvkYSczCWVyDxHcKCyESQUt4UX_U_ATLGTjQ2KlLlsOZMik39BOoGzv8GHAaQPoP4IBWkD6ixo1nyI7gMreGmvyzfFp_wqAUxNqINIEYz508KN7HIeAA0eUbS9dR9f7IS616rQ,Senior Data Analyst,Washington State Hospital Association,"Seattle, WA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAInRx5Re_ey1Zq3gPAN5JHvZBWBUOrmEg6QBiOtbqylWeVELDvR0N9PvQmHeGg8bLaq4vHCLsteNc2BlDVfmTKt5SKMIX6nclxvAyJewNs4I1sbbY7QfASRVgPYN8bg9S1CXwxM8iUk-Gjfjrn0gsPrvltdyLfphcERg9lGE4O3UFhcwXdf5ni2DrEbv-wYhGLE5wFoT6_zuBrMdOLAVQ,Data Analyst,Seattle Housing Authority,"Seattle, WA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AALwUiNlPlVLmHjvZNpz6Kfr3fqsKS8IwgzD59K4HWriae-0ejHZmB7F29_4ekZ0yip28Ow5AhfwPcE7eOJEGpt42CL76dIVu1upBxfMO7xNDgQGb26e6fsKa3vHWftHWajvuIr-ujUB7DVcv1gKZxywova_f5ZTq4qPzHI9IvQDYdZCvVRFgpxvajsJwl8tbeQZftJsO7BmBVStXjwz37Q,SENIOR DATA ANALYST (Project/Temporary),University of Washington,"Seattle, WA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AALxbULYDKGNl_8_0XIN3m0T9lAB0Us1cqEserQSdK3bxzM4ikETHkVrOrVFd6zASDT0NK8PCiCM_MhKgesCbxB6IqYJRp80l0X2cY8pJW_T99dmiGfkhryPxNJEZTKI1ybMj_AZNgBgAjBCc0kWGzfYokLZs_HwtpNDNxs5pDbSCfqU8RM_XHafpvP_0J0C7rZYkQxdd7N2hjXR0dSHPm4,SENIOR DATA ANALYST,University of Washington,"Seattle, WA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJSHE27TyUUjR4UXF0cuIBYajkAX9ylMjy6SiaToBfL8_eL8gejE8_rzGE-urQMLXsTSSmIECXgmpAvMQ4MRY6GI_4juckTuMG5aOo6OtyaQK56iMcsEAsViTI9IFapVoKTQ4pLVC_C_xIblQ6IHX0gpV2b0cwbGZkvdW5h1SSLHPzFzkl6vEhjWQaJMQxUG_-kPHPMAkhb-cOzeyV6XtQrsWx0KNZf6pel8w,Aviation Security Compliance Analyst,Port of Seattle,"SeaTac, WA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIwOZrrkMN1v-BK447-SX1fiMm7wcUFbrQm03CNbF6Wx-qZ1LGzOW_pZti3PRrU8qqlQn9CP5aAIfoyoHu6QBN56BxAlv4mBwkmbDRgY8qcsf0_SwN0mVt5Npft6qnofv8-1i_minpQPtJGtCoxNgB-gPp2pKYyW-z5ne_AmHUfYjW_8WmuOAlKlkDGL-qhcBjc0gUDglsb1Iqj-keK3g,Data Analyst,Amerit Fleet Solutions,"Seattle, WA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAK6oTZVVpzchG1aFZ90GQZQU2h4zNp81z0Ow_c2OwvCzuVGMh9wY6kaZo2dSR6hhJQg-vq23BX83bpOojcMUqaHC_CRUcAn1OBYmgxNpNlzks9BXaW-gt__5JmlN759ydRgrMEvspdbZ_RigBIVzaGVkfBJTMQd0Edm7RemZM0fl9TjHwXUVm5FqO88aLcNS3S3vwsil0vSc4WRYIU5rA,"Data Analyst, Entry Level",VOGLIO Digital Marketing,"Seattle, WA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AALYEW4NMgRJit88Vw-1s11wTFmB42oojeqUbzw7Bx8322FJ3c3mIz5Jc_i0VPZMccUFoFHn3GpXUND27IJJzuqd-hfJ65PbyBboFDugxsZxQjA5nErYjQOpo5qXWBbm8FxcQU28rtG4vUPtyPapAklICC6cx5aYHzSMn7TSDGhBa7E1HfmHGzHcPgCVEznX80TlhK5XmdPOiEE2rNhY2Ec,Data Analyst,iSpot.tv,"Bellevue, WA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAISQPOTu7T3LqZZ5sKHLgfzsWQYkk3G6YLYvUGCpudzsT9nLOtKwv3CxdN03AkNpvYVIpPBG6UKqB-jmaCkHMMUkiC4Q5s8_NaGJk2ZhUr-f-IecC_K4wMqJ_jyLN50RV7N8tfELtphWQ-N6FmZ37-jpCDJOwwJ8QgqVIrgCuKyNJDsMlYfhEsNeHo4r-YAemaNXjOrPWx5Ivsh7ixFK4k,GIS Data Analyst,"Elyon International, Inc.","Seattle, WA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAIqcjEder_85jEA9cyMMvbH3MyHCqiCWvTVQzB89Q6F3VGKgTQX9d0C5o_hKBW_UjT2CSb3kgyOTBdR3SeOpZTgDFhZUNedZO5gKsAhmRz57BGXihMwVuuypHSn_lGE77TMklapMpLvCULMopT3LSFaj6TZ4h0SybOUuEi3p4cdmdQsvG3FwWcSNHVPXLW_d4K6USM9OxsUUkTYZGbC7SY,Data Analyst 1,Team Red Dog,"Redmond, WA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AALd38gKPXtgIT3izRNjPS9HH8cSrxRojDSVfqhFj3-o0PCF6OdMoe9WO3g-b_NO2e88j41TGWkcR_KI0DAs0ue5XhvmQ62Npsk3GFXkFT8tYa-9tKdZnCAG9KmPFP0ek9Q8kwfHCuwdrpAmXwf6lGtBBaX0KcpubVXj4TL8ZE_IN1G4yuRKq9S57JYj11qigQk4etBrXdCukUKB2IG_9qM,Data Analyst (20516-1),"CORE Consulting, LLC","Everett, WA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAJJr2eUK54ltkgpxFFlrtzGlfAx1RZmu-p4NGLALgzgos2k-DgTyXbpXEIjptCOKsmWYOmK-KBn2zkeObAyYzlUKyXVoOcbLty_DKOUaHM1uFyJDyzClKHS6IBtGdyRyo7jb29jgGE859dCeGEN6RrU6xBL2AR80MeabCriNwslI4Sm96bPRwQqoPnNJbS5RHnhzbvLqDZP1PxQgfVo1dA,Data Analyst II,American Institutes for Research,"Seattle, WA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAKxKyoCMuWWAoMX4rXq9L7v7VoWa4sUVurReKGHAqi1HpllKpZatkL4ScwAqD3H1lnoWCZnZYPlp3TKS47PujLlFy8oN-rwN1_8afHmIOqllykzaee9hK0KbSXKUQIAkz00VQ0Dxy4pF5VpYvxJ94YfODk4eoqsldudUBNZvx4ixVAqTPvUmBpQ1FN1Dlixb7Vph4-LWLulSkCbmZUyZTY,"Data Analyst, Business Development",WE Communications,"Bellevue, WA, USA",12/4/2023
https://www.ziprecruiter.com/k/l/AAINzYuNJrkWPlgxe2VghsPrPUtmvz0svWWTCCvYuoH5srLTvz0oTNXJdjsAnNKgDp4lPDgcLngcGSyNGGnY3kbuo3jk-jS5oAjn5WBshSWSdDZi-pmUitgBW4W9_D7kKRqJ-JLXwUoyF8KANwOAcErKGaZNhHIoyccg-wAe-jHd7UYKtpaMw5tFCLO0pagGCCZd49M1k76jySlzoNQqW1cc,Research Data Analyst II - Research and Academics,Virginia Mason Medical Center,"Seattle, WA, USA",12/4/2023
https://www.indeed.com/viewjob?jk=bd79ef8c8ff3c16a,Data Consultant,CannonDesign,"Seattle, WA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=465d833a3e52b784,Data Entry Clerk,VI Resorts,"Bellevue, WA, USA",12/3/2023
https://www.indeed.com/viewjob?jk=b465c21725586e01,Senior Business Analyst,Amplify Consulting Partners,"Bellevue, WA, USA",12/3/2023
