job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/game-development-manager-boardgames-ravensburger-north-america-inc-JV_IC1150505_KO0,35_KE36,66.htm?jl=1008979524272",Game Development Manager- Boardgames,"Ravensburger North America, Inc.","Seattle, WA",11/14/2023
"https://www.glassdoor.com/job-listing/senior-external-development-manager-xbox-game-studios-microsoft-JV_IC1150499_KO0,53_KE54,63.htm?jl=1008981854143",Senior External Development Manager - Xbox Game Studios,Microsoft,"Redmond, WA",11/15/2023
"https://www.glassdoor.com/job-listing/lead-game-systems-designer-microsoft-JV_IC1150499_KO0,26_KE27,36.htm?jl=1008941200826",Lead Game Systems Designer,Microsoft,"Redmond, WA",10/23/2023
"https://www.glassdoor.com/job-listing/principal-product-manager-gaming-ecosystem-microsoft-JV_IC1150499_KO0,42_KE43,52.htm?jl=1008984512421","Principal Product Manager, Gaming Ecosystem",Microsoft,"Redmond, WA",11/17/2023
"https://www.glassdoor.com/job-listing/principal-software-development-engineer-gaming-ai-microsoft-JV_IC1150499_KO0,49_KE50,59.htm?jl=1009009479123","Principal Software Development Engineer, Gaming AI",Microsoft,"Redmond, WA",12/1/2023
"https://www.glassdoor.com/job-listing/art-outsource-lead-environment-epic-games-JV_IC1150442_KO0,30_KE31,41.htm?jl=1008969262853","Art Outsource Lead, Environment",Epic Games,"Bellevue, WA",11/8/2023
"https://www.glassdoor.com/job-listing/asset-localization-producer-amazon-games-marketing-amazon-com-services-llc-JV_IC1150505_KO0,50_KE51,74.htm?jl=1008979779321","Asset Localization Producer, Amazon Games Marketing",Amazon.com Services LLC,"Seattle, WA",11/14/2023
"https://www.glassdoor.com/job-listing/ui-engineer-skate-electronic-arts-JV_IC1150505_KO0,17_KE18,33.htm?jl=1008981703650",UI Engineer - skate,Electronic Arts,"Seattle, WA",11/15/2023
"https://www.glassdoor.com/job-listing/senior-software-engineer-infrastructure-electronic-arts-JV_IC1150505_KO0,39_KE40,55.htm?jl=1009006265042",Senior Software Engineer - Infrastructure,Electronic Arts,"Seattle, WA",11/30/2023
"https://www.glassdoor.com/job-listing/business-intel-engineer-ii-amazon-game-studios-bizops-amazon-com-services-llc-JV_IC1150505_KO0,53_KE54,77.htm?jl=1008984877595","Business Intel Engineer II, Amazon Game Studios BizOps",Amazon.com Services LLC,"Seattle, WA",11/17/2023
"https://www.glassdoor.com/job-listing/technical-program-manager-amazon-stores-amazon-com-services-llc-JV_IC1150505_KO0,39_KE40,63.htm?jl=1009006252086","Technical Program Manager, Amazon Stores",Amazon.com Services LLC,"Seattle, WA",11/30/2023
"https://www.glassdoor.com/job-listing/principal-research-software-engineer-gaming-artificial-intelligence-ai-microsoft-JV_IC1150499_KO0,70_KE71,80.htm?jl=1008959378952","Principal Research Software Engineer, Gaming Artificial Intelligence (AI)",Microsoft,"Redmond, WA",11/2/2023
"https://www.glassdoor.com/job-listing/senior-product-designer-microsoft-JV_IC1150499_KO0,23_KE24,33.htm?jl=1008957281296",Senior Product Designer,Microsoft,"Redmond, WA",11/1/2023
