job_url,title,company,location,date_posted
"https://www.glassdoor.com/job-listing/software-engineer-1-grange-insurance-association-JV_IC1150505_KO0,19_KE20,48.htm?jl=1009013123694",Software Engineer 1,Grange Insurance Association,"Seattle, WA",
"https://www.glassdoor.com/job-listing/bioinformatics-engineer-university-of-washington-JV_IC1150505_KO0,23_KE24,48.htm?jl=1008868664374",BIOINFORMATICS ENGINEER,University of Washington,"Seattle, WA",9/13/2023
"https://www.glassdoor.com/job-listing/senior-software-engineer-fis-global-JV_IC1150505_KO0,24_KE25,35.htm?jl=1008819278907",Senior Software Engineer,FIS Global,"Seattle, WA",8/17/2023
"https://www.glassdoor.com/job-listing/software-developer-ai-trainer-contract-dataannotation-JV_IC1150505_KO0,38_KE39,53.htm?jl=1008947698006",Software Developer - AI Trainer (Contract),DataAnnotation,"Seattle, WA",10/27/2023
"https://www.glassdoor.com/job-listing/game-development-manager-boardgames-ravensburger-north-america-inc-JV_IC1150505_KO0,35_KE36,66.htm?jl=1008979524272",Game Development Manager- Boardgames,"Ravensburger North America, Inc.","Seattle, WA",11/14/2023
"https://www.glassdoor.com/job-listing/senior-software-engineer-seattle-rokt-JV_IC1150505_KO0,32_KE33,37.htm?jl=1008811153471",Senior Software Engineer - Seattle,Rokt,"Seattle, WA",8/11/2023
"https://www.glassdoor.com/job-listing/automation-engineer-tecma-aries-america-JV_KO0,19_KE20,39.htm?jl=1008813444920",Automation Engineer,Tecma Aries America,United States,8/14/2023
"https://www.glassdoor.com/job-listing/software-engineer-microsoft-JV_IC1150499_KO0,17_KE18,27.htm?jl=1009013023180",Software Engineer,Microsoft,"Redmond, WA",
"https://www.glassdoor.com/job-listing/sr-embedded-software-developer-digital-control-inc-JV_IC1150471_KO0,30_KE31,50.htm?jl=1008908379149",Sr. Embedded Software Developer,"Digital Control, Inc.","Kent, WA",10/4/2023
"https://www.glassdoor.com/job-listing/manager-software-development-fred-hutchinson-cancer-center-JV_IC1150505_KO0,28_KE29,58.htm?jl=1008968571121","Manager, Software Development",Fred Hutchinson Cancer Center,"Seattle, WA",11/8/2023
"https://www.glassdoor.com/job-listing/software-development-engineer-iii-mulesoft-java-wms-oms-integrations-the-pokémon-company-international-JV_IC1150442_KO0,68_KE69,102.htm?jl=1008903861600",Software Development Engineer III Mulesoft/Java(WMS/OMS Integrations),The Pokémon Company International,"Bellevue, WA",10/3/2023
